mu phi sigma rho nu
-0.3949 0.9520 0.1878 -0.1467 13
-0.4133 0.9658 0.1643 -0.3475 14
-0.3865 0.9472 0.2275 -0.1999 13
-0.4196 0.9749 0.1406 -0.3634 16
-0.4166 0.9577 0.1701 -0.3624 16
-0.2918 0.9510 0.2013 -0.3567 13
-0.3559 0.9559 0.1643 -0.2786 15
-0.4331 0.9500 0.1846 -0.3743 12
-0.4237 0.9516 0.1765 -0.3718 13
-0.4094 0.9616 0.1873 -0.1957 15
-0.4079 0.9709 0.1390 -0.2975 8
-0.4273 0.9749 0.1603 -0.4821 17
-0.3691 0.9491 0.1986 -0.3950 12
-0.3509 0.9613 0.1741 -0.3479 18
-0.3332 0.9549 0.1826 -0.2575 20
-0.4331 0.9589 0.1842 -0.2252 9
-0.3973 0.9737 0.1237 -0.3003 14
-0.3871 0.9630 0.1656 -0.3300 12
-0.2950 0.9609 0.1747 -0.3997 18
-0.3731 0.9558 0.1921 -0.4072 11
-0.3837 0.9591 0.1894 -0.2471 12
-0.3966 0.9591 0.1683 -0.1566 10
-0.4037 0.9658 0.1542 -0.1365 14
-0.4186 0.9621 0.1711 -0.2472 11
-0.3618 0.9500 0.1965 -0.2264 20
-0.3507 0.9500 0.1915 -0.5007 15
-0.3589 0.9639 0.1655 -0.2579 12
-0.3623 0.9572 0.1704 -0.3457 14
-0.5015 0.9582 0.1890 -0.3311 8
-0.3571 0.9573 0.1748 -0.3169 13
-0.3982 0.9498 0.1971 -0.2845 14
-0.4490 0.9592 0.1601 -0.3133 10
-0.3935 0.9778 0.1317 -0.2856 11
-0.3032 0.9406 0.2088 -0.1571 18
-0.4319 0.9616 0.1691 -0.0701 10
-0.3833 0.9540 0.2093 -0.4064 15
-0.4356 0.9650 0.1722 -0.1084 12
-0.4171 0.9708 0.1506 -0.2757 11
-0.3246 0.9622 0.1618 -0.2289 33
-0.3437 0.9642 0.1750 -0.2924 16
-0.4606 0.9727 0.1627 -0.3885 10
-0.3987 0.9527 0.1920 -0.2528 15
-0.5076 0.9665 0.1411 -0.2723 7
-0.4028 0.9691 0.1635 -0.2502 11
-0.2918 0.9537 0.2009 -0.3123 19
-0.4623 0.9499 0.1940 -0.2136 10
-0.2994 0.9749 0.1439 -0.2299 22
-0.3814 0.9692 0.1570 -0.4111 12
-0.3390 0.9653 0.1726 -0.1683 17
-0.3995 0.9491 0.2039 -0.3913 12
-0.5052 0.9728 0.1524 -0.3124 10
-0.4377 0.9645 0.1538 -0.0574 9
-0.3188 0.9553 0.1913 -0.2091 14
-0.4078 0.9644 0.1676 -0.3058 11
-0.2686 0.9678 0.1583 -0.3996 30
-0.3279 0.9645 0.1630 -0.3718 25
-0.3932 0.9638 0.1505 -0.2821 15
-0.4986 0.9622 0.1605 -0.0294 9
-0.3464 0.9628 0.1646 -0.3638 17
-0.3444 0.9553 0.1837 -0.3071 18
-0.3154 0.9506 0.1777 -0.1480 21
-0.2949 0.9569 0.1981 -0.2663 21
-0.3439 0.9811 0.1246 -0.2512 14
-0.4280 0.9600 0.1890 -0.2979 9
-0.4094 0.9373 0.2025 -0.1753 17
-0.4435 0.9679 0.1608 -0.2880 9
-0.3331 0.9517 0.2116 -0.5077 24
-0.4972 0.9574 0.1646 -0.3588 8
-0.4606 0.9606 0.1795 -0.2604 14
-0.2804 0.9389 0.2148 -0.4720 18
-0.4628 0.9755 0.1314 -0.4907 11
-0.3820 0.9476 0.2117 -0.3548 15
-0.4009 0.9697 0.1422 -0.3423 12
-0.4021 0.9442 0.1604 -0.3976 11
-0.3886 0.9690 0.1891 -0.4433 16
-0.2433 0.9612 0.1729 -0.3084 46
-0.3717 0.9486 0.1770 -0.3158 17
-0.3574 0.9589 0.2035 -0.3365 10
-0.4419 0.9561 0.1771 -0.2660 12
-0.3674 0.9755 0.1414 -0.3083 15
-0.4436 0.9613 0.1631 -0.2486 15
-0.4069 0.9672 0.1555 -0.3238 10
-0.2715 0.9673 0.1596 -0.3600 23
-0.4130 0.9692 0.1466 -0.4060 12
-0.3550 0.9545 0.1909 -0.3209 21
-0.3932 0.9705 0.1553 -0.1863 16
-0.4267 0.9725 0.1417 -0.1930 10
-0.4793 0.9673 0.1536 -0.2600 11
-0.4281 0.9689 0.1443 -0.2915 10
-0.3812 0.9397 0.2103 -0.4221 12
-0.3531 0.9315 0.2628 -0.2433 16
-0.3492 0.9624 0.1711 -0.3325 13
-0.3972 0.9612 0.1572 -0.2926 12
-0.4195 0.9214 0.2345 -0.4106 12
-0.4749 0.9554 0.1992 -0.3970 9
-0.4236 0.9585 0.1963 -0.4226 13
-0.3892 0.9725 0.1431 -0.4451 13
-0.4019 0.9642 0.1572 -0.2321 11
-0.3023 0.9624 0.1690 -0.3951 12
-0.3127 0.9699 0.1560 -0.4256 20
-0.4134 0.9766 0.1252 -0.4051 9
-0.4494 0.9790 0.1315 -0.2960 9
-0.4145 0.9585 0.1929 -0.3384 21
-0.4366 0.9703 0.1457 -0.1792 10
-0.4181 0.9653 0.1608 -0.4123 13
-0.3675 0.9678 0.1437 -0.2638 11
-0.3546 0.9604 0.1862 -0.4245 16
-0.4298 0.9588 0.1783 -0.3056 8
-0.3201 0.9586 0.1896 -0.3691 44
-0.3739 0.9649 0.1803 -0.2895 22
-0.4771 0.9650 0.1421 -0.1876 7
-0.4832 0.9673 0.1614 -0.3732 14
-0.3997 0.9606 0.1734 -0.3405 16
-0.3830 0.9517 0.1795 -0.1923 19
-0.5401 0.9752 0.1334 -0.3892 6
-0.3504 0.9598 0.1587 -0.2121 14
