mu phi sigma rho nu
-0.4258 0.9688 0.1518 -0.3655 13
-0.4020 0.9594 0.1709 -0.2289 13
-0.3916 0.9492 0.1913 -0.3193 16
-0.4123 0.9736 0.1346 -0.2925 10
-0.3127 0.9474 0.2086 -0.2455 40
-0.5205 0.9636 0.1850 -0.3860 9
-0.3066 0.9618 0.1754 -0.3721 49
-0.3130 0.9479 0.2178 -0.3676 30
-0.3448 0.9472 0.1811 -0.4263 21
-0.2976 0.9609 0.1888 -0.2329 20
-0.3304 0.9585 0.1911 -0.3403 30
-0.2868 0.9381 0.2142 -0.1875 21
-0.3231 0.9458 0.2179 -0.2421 37
-0.4111 0.9695 0.1354 -0.1554 12
-0.3651 0.9513 0.1837 -0.2350 12
-0.3892 0.9499 0.1900 -0.3919 13
-0.3575 0.9544 0.1755 -0.3334 14
-0.3518 0.9657 0.1611 -0.3006 14
-0.4771 0.9666 0.1591 -0.1193 8
-0.3766 0.9674 0.1638 -0.4133 13
-0.4590 0.9411 0.2083 -0.1845 15
-0.3661 0.9501 0.2133 -0.4580 16
-0.4209 0.9524 0.1913 -0.3437 15
-0.3851 0.9530 0.1804 -0.2265 12
-0.4209 0.9675 0.1693 -0.4319 10
-0.3634 0.9706 0.1469 -0.3311 12
-0.3700 0.9499 0.2079 -0.3613 18
-0.4499 0.9341 0.2197 -0.3160 11
-0.3853 0.9719 0.1479 -0.4940 21
-0.4565 0.9595 0.1710 -0.3749 14
-0.3428 0.9536 0.1924 -0.2231 14
-0.4275 0.9615 0.1744 -0.3047 10
-0.3994 0.9734 0.1441 -0.2343 10
-0.3603 0.9373 0.2369 -0.3643 25
-0.4111 0.9734 0.1372 -0.1556 13
-0.3559 0.9539 0.1944 -0.3499 13
-0.4053 0.9540 0.1726 -0.3982 10
-0.3446 0.9353 0.2009 -0.3313 18
-0.4305 0.9663 0.1749 -0.3709 9
-0.3662 0.9598 0.1800 -0.2195 13
-0.3848 0.9582 0.2052 -0.3250 12
-0.4316 0.9643 0.1592 -0.3250 13
-0.3872 0.9330 0.2155 -0.3496 8
-0.2892 0.9688 0.1599 -0.1103 21
-0.4009 0.9602 0.1680 -0.1551 14
-0.4159 0.9623 0.1756 -0.4307 13
-0.4330 0.9656 0.1640 -0.3085 10
-0.3255 0.9343 0.2412 -0.2856 34
-0.3794 0.9703 0.1397 -0.1816 12
-0.3785 0.9724 0.1449 -0.4089 16
-0.2642 0.9636 0.1698 -0.4391 35
-0.3626 0.9671 0.1562 -0.1533 17
-0.4544 0.9737 0.1389 -0.3027 9
-0.4289 0.9599 0.1539 -0.3868 9
-0.4279 0.9578 0.1903 -0.3716 11
-0.4244 0.9574 0.1739 -0.3135 13
-0.3787 0.9578 0.2008 -0.3407 13
-0.3301 0.9693 0.1493 -0.4636 18
-0.3747 0.9718 0.1425 -0.2977 17
-0.3482 0.9644 0.1647 -0.3265 23
-0.3671 0.9448 0.2153 -0.3782 28
-0.4042 0.9616 0.1607 -0.3752 13
-0.2593 0.9670 0.1857 -0.3551 22
-0.3574 0.9493 0.1983 -0.3344 24
-0.3620 0.9633 0.1777 -0.1993 13
-0.4106 0.9643 0.1600 -0.4060 12
-0.4862 0.9393 0.2417 -0.3282 8
-0.2475 0.9470 0.1926 -0.2462 49
-0.4211 0.9610 0.1604 -0.2709 13
-0.3634 0.9540 0.1742 -0.2780 29
-0.3712 0.9645 0.1562 -0.1193 13
-0.2765 0.9394 0.2153 -0.2933 23
-0.5075 0.9615 0.1616 -0.1063 8
-0.3947 0.9708 0.1586 -0.3665 8
-0.3819 0.9596 0.1875 -0.4014 13
-0.4319 0.9523 0.1818 -0.2635 11
-0.3688 0.9716 0.1615 -0.4376 14
-0.3764 0.9637 0.1978 -0.5420 13
-0.3760 0.9561 0.1808 -0.2864 16
-0.3899 0.9703 0.1494 -0.3217 16
-0.2737 0.9623 0.1752 -0.4160 20
-0.3752 0.9770 0.1226 -0.3921 11
-0.2981 0.9451 0.1938 -0.4088 19
-0.4501 0.9471 0.1949 -0.3865 10
-0.4930 0.9729 0.1406 -0.3731 9
-0.4038 0.9689 0.1731 -0.3387 11
-0.4561 0.9622 0.1589 -0.2150 9
-0.3696 0.9696 0.1702 -0.3023 15
-0.4513 0.9544 0.2097 -0.3068 11
-0.4364 0.9667 0.1569 -0.2740 10
-0.3436 0.9591 0.1638 -0.3916 11
-0.4521 0.9652 0.1506 -0.2145 8
-0.4231 0.9672 0.1666 -0.2986 10
-0.3635 0.9732 0.1469 -0.3470 17
-0.4530 0.9552 0.1911 -0.1685 9
-0.4414 0.9667 0.1585 -0.2783 13
-0.3689 0.9710 0.1448 -0.3215 13
-0.4952 0.9609 0.1609 -0.2020 8
-0.3237 0.9466 0.1963 -0.4735 13
-0.3509 0.9619 0.1791 -0.2151 14
-0.2651 0.9693 0.1447 -0.2169 31
-0.2652 0.9623 0.1729 -0.3778 18
-0.4313 0.9645 0.1854 -0.3277 12
-0.3885 0.9558 0.1911 -0.1893 15
-0.3266 0.9540 0.2025 -0.3860 46
-0.3867 0.9706 0.1405 -0.3269 10
-0.3842 0.9708 0.1376 -0.1947 14
-0.4573 0.9594 0.1665 -0.3075 10
-0.4423 0.9530 0.1752 -0.2765 13
-0.3860 0.9780 0.1377 -0.3516 10
-0.3189 0.9766 0.1449 -0.3402 12
-0.3750 0.9692 0.1422 -0.1740 20
-0.2934 0.9729 0.1341 -0.3329 11
-0.2609 0.9725 0.1487 -0.2840 23
-0.3701 0.9596 0.1793 -0.3525 13
-0.4682 0.9616 0.1828 -0.1166 10
-0.3881 0.9521 0.1801 -0.2806 10
-0.3180 0.9552 0.1960 -0.1866 42
-0.4384 0.9515 0.2045 -0.4089 16
-0.3339 0.9277 0.2300 -0.3439 19
-0.4580 0.9517 0.2164 -0.2260 11
-0.2982 0.9205 0.2557 -0.3267 18
-0.4801 0.9698 0.1514 -0.2622 9
-0.4083 0.9702 0.1608 -0.2313 12
-0.3572 0.9529 0.2040 -0.3175 11
-0.3582 0.9491 0.1896 -0.3438 14
-0.2776 0.9627 0.1636 -0.2288 19
-0.4247 0.9587 0.1626 -0.3420 10
-0.3762 0.9676 0.1536 -0.1139 11
-0.3128 0.9699 0.1585 -0.4373 11
-0.3561 0.9726 0.1368 -0.3215 15
-0.3490 0.9671 0.1602 -0.2633 15
-0.4934 0.9659 0.1845 -0.3604 12
-0.4707 0.9619 0.1726 -0.1480 10
-0.4142 0.9650 0.1526 -0.2300 11
-0.3553 0.9494 0.2143 -0.3866 17
-0.3451 0.9526 0.1990 -0.4645 17
-0.3905 0.9692 0.1551 -0.4796 14
-0.4134 0.9543 0.1738 -0.4219 13
-0.4342 0.9547 0.1894 -0.1834 11
-0.4394 0.9634 0.1672 -0.3545 10
-0.4124 0.9673 0.1646 -0.2372 12
-0.3597 0.9656 0.1672 -0.2911 16
-0.4428 0.9609 0.1458 -0.2729 10
-0.3422 0.9423 0.1967 -0.2863 14
-0.3637 0.9596 0.1718 -0.2066 20
-0.3319 0.9569 0.1770 -0.3170 17
-0.2821 0.9509 0.2052 -0.2938 19
-0.4279 0.9623 0.1719 -0.4811 13
-0.3888 0.9577 0.1743 -0.3540 11
-0.4042 0.9733 0.1436 -0.2664 15
-0.3485 0.9591 0.1750 -0.3699 15
-0.3827 0.9710 0.1606 -0.2618 16
-0.3705 0.9623 0.1592 -0.3326 18
-0.4839 0.9590 0.1869 -0.2287 11
-0.4050 0.9659 0.1741 -0.4838 14
-0.3853 0.9559 0.1895 -0.1627 13
-0.3040 0.9604 0.1855 -0.3980 21
-0.3917 0.9543 0.1996 -0.3227 19
-0.4720 0.9676 0.1498 -0.3211 11
-0.4062 0.9707 0.1257 -0.2776 10
-0.4501 0.9461 0.2126 -0.4135 11
-0.3771 0.9499 0.2049 -0.3608 9
-0.4940 0.9624 0.1702 -0.3882 9
-0.4486 0.9588 0.1902 -0.2100 10
-0.5642 0.9604 0.1668 -0.3463 8
-0.4148 0.9655 0.1670 -0.3263 13
-0.3600 0.9296 0.2497 -0.3227 16
-0.4609 0.9599 0.1653 -0.2038 11
-0.4157 0.9623 0.1905 -0.3737 10
-0.4152 0.9711 0.1464 -0.2165 12
-0.4488 0.9670 0.1569 -0.4281 11
-0.3149 0.9501 0.2079 -0.3861 27
-0.3965 0.9599 0.1786 -0.3555 17
-0.4224 0.9537 0.1960 -0.2590 12
-0.4126 0.9527 0.2113 -0.4114 10
-0.4704 0.9779 0.1122 -0.1729 9
-0.3606 0.9744 0.1384 -0.2040 16
-0.3511 0.9553 0.1945 -0.3071 22
-0.3557 0.9596 0.1785 -0.4038 15
-0.4187 0.9494 0.1996 -0.3362 10
-0.4917 0.9620 0.1513 -0.2965 8
-0.3626 0.9650 0.1694 -0.2817 15
-0.3311 0.9599 0.1853 -0.4099 12
-0.3616 0.9507 0.1981 -0.3958 15
-0.3840 0.9575 0.1981 -0.2500 18
-0.4466 0.9704 0.1424 -0.3821 10
-0.3128 0.9587 0.1657 -0.2258 19
-0.4052 0.9513 0.1993 -0.1509 11
-0.4102 0.9592 0.1826 -0.3624 10
-0.3751 0.9568 0.1680 -0.2485 12
-0.3369 0.9606 0.1691 -0.2214 15
-0.3182 0.9615 0.1695 -0.0911 19
-0.4142 0.9664 0.1510 -0.3760 12
-0.5301 0.9667 0.1561 -0.4123 8
-0.4610 0.9534 0.1810 -0.1978 8
-0.4198 0.9602 0.1644 -0.3921 9
-0.4181 0.9739 0.1304 -0.2481 11
-0.3747 0.9624 0.1545 -0.3603 12
-0.4788 0.9694 0.1490 -0.3684 11
-0.4251 0.9623 0.1650 -0.4075 9
-0.4772 0.9573 0.1722 -0.4239 10
-0.3397 0.9481 0.1991 -0.3492 23
-0.3955 0.9505 0.1983 -0.2190 9
-0.3884 0.9582 0.1635 -0.3038 14
-0.4140 0.9613 0.1761 -0.4132 12
-0.4149 0.9504 0.1902 -0.3168 13
-0.3204 0.9654 0.1826 -0.3756 18
-0.3773 0.9579 0.1746 -0.3429 12
-0.4765 0.9639 0.1821 -0.3037 9
-0.3894 0.9753 0.1487 -0.3628 13
-0.4182 0.9634 0.1530 -0.2529 9
-0.4758 0.9653 0.1641 -0.2842 9
-0.3880 0.9607 0.1661 -0.2565 9
-0.4272 0.9674 0.1579 -0.2609 15
-0.3816 0.9648 0.1685 -0.1468 12
-0.3909 0.9571 0.1846 -0.2454 19
-0.4184 0.9718 0.1525 -0.3738 9
-0.3740 0.9579 0.1798 -0.3645 13
-0.3560 0.9498 0.1962 -0.1635 14
-0.2603 0.9638 0.1715 -0.3664 12
-0.4221 0.9536 0.1869 -0.1992 18
-0.5116 0.9627 0.1494 -0.0649 10
-0.3444 0.9607 0.1933 -0.4714 20
-0.3643 0.9628 0.1558 -0.1012 17
-0.3029 0.9688 0.1823 -0.3541 13
-0.4358 0.9700 0.1633 -0.3751 15
-0.3950 0.9671 0.1548 -0.2875 14
-0.3459 0.9494 0.1908 -0.3130 26
-0.4152 0.9661 0.1338 -0.2627 9
-0.4792 0.9630 0.1708 -0.2596 7
-0.4318 0.9725 0.1426 -0.1321 10
-0.2806 0.9662 0.1435 -0.4065 16
-0.3035 0.9602 0.1767 -0.2378 18
-0.4390 0.9570 0.1754 -0.2058 9
-0.3394 0.9373 0.2330 -0.3372 36
-0.3753 0.9614 0.1902 -0.2860 19
-0.3815 0.9572 0.1784 -0.4307 18
-0.3939 0.9643 0.1688 -0.2902 14
-0.3742 0.9632 0.1867 -0.3651 15
-0.4666 0.9659 0.1479 -0.2138 8
-0.4350 0.9717 0.1365 -0.1438 9
-0.4162 0.9638 0.1704 -0.4270 13
-0.3554 0.9550 0.1848 -0.3445 17
-0.3957 0.9295 0.2484 -0.2028 16
-0.4534 0.9749 0.1432 -0.2958 8
-0.3027 0.9627 0.1941 -0.2313 24
-0.4099 0.9606 0.1583 -0.2841 14
-0.4369 0.9231 0.2490 -0.2288 14
-0.4866 0.9737 0.1502 -0.1807 9
-0.3020 0.9651 0.1724 -0.1788 19
-0.2987 0.9762 0.1410 -0.2519 22
-0.3536 0.9599 0.1846 -0.2570 19
-0.3999 0.9745 0.1320 -0.2538 10
-0.3240 0.9679 0.1713 -0.4830 15
-0.4426 0.9662 0.1564 -0.3248 8
-0.3183 0.9776 0.1426 -0.4809 11
-0.3720 0.9563 0.1823 -0.3741 16
-0.4311 0.9622 0.1802 -0.4274 16
-0.4548 0.9536 0.1814 -0.3137 10
-0.3395 0.9499 0.1939 -0.2673 28
-0.4552 0.9756 0.1379 -0.2471 8
-0.3721 0.9576 0.1853 -0.4064 15
-0.2914 0.9460 0.2077 -0.2140 13
-0.3685 0.9738 0.1559 -0.2578 14
-0.4593 0.9596 0.1782 -0.2162 9
-0.3768 0.9571 0.1755 -0.0654 18
-0.2906 0.9608 0.1551 -0.3224 17
-0.4733 0.9550 0.2001 -0.3916 11
-0.4013 0.9676 0.1604 -0.3013 16
-0.4289 0.9677 0.1614 -0.4428 14
-0.3893 0.9458 0.2177 -0.3265 14
-0.3569 0.9672 0.1590 -0.1662 14
-0.4341 0.9734 0.1377 -0.1445 13
-0.4597 0.9579 0.1854 -0.2901 13
-0.3535 0.9603 0.1706 -0.3010 18
-0.3389 0.9758 0.1481 -0.2654 20
-0.5076 0.9304 0.2321 -0.2829 9
-0.4722 0.9642 0.1846 -0.4353 12
-0.2851 0.9454 0.1942 -0.4296 33
-0.4430 0.9651 0.1578 -0.3210 8
-0.3537 0.9386 0.2153 -0.3633 20
-0.4846 0.9675 0.1574 -0.2141 8
-0.3141 0.9657 0.1610 -0.3992 18
-0.4446 0.9232 0.2495 -0.2965 14
-0.4429 0.9509 0.1967 -0.2418 13
-0.3693 0.9455 0.1965 -0.3685 18
-0.4758 0.9704 0.1614 -0.2797 9
-0.5307 0.9688 0.1504 -0.3830 9
-0.3222 0.9603 0.1738 -0.2609 12
-0.3777 0.9796 0.1445 -0.3189 11
-0.2631 0.9675 0.1575 -0.3510 17
-0.4049 0.9650 0.1625 -0.3281 15
-0.5009 0.9734 0.1468 -0.5041 10
-0.3328 0.9306 0.2280 -0.4040 18
-0.3846 0.9596 0.1659 -0.2720 15
-0.4223 0.9658 0.1486 -0.4572 9
-0.3426 0.9807 0.1204 -0.3039 15
-0.4465 0.9681 0.1637 -0.3660 10
-0.5268 0.9516 0.1936 -0.3266 10
-0.4340 0.9610 0.1744 -0.1823 11
-0.3204 0.9569 0.1632 -0.5052 12
-0.4163 0.9633 0.1633 -0.3746 11
-0.3740 0.9659 0.1594 -0.3217 16
-0.5208 0.9666 0.1695 -0.4479 8
-0.4212 0.9578 0.1808 -0.2314 13
-0.3183 0.9389 0.2128 -0.2911 25
-0.4620 0.9681 0.1538 -0.3721 9
-0.4006 0.9462 0.1956 -0.3557 10
-0.4266 0.9557 0.1759 -0.4317 9
-0.5062 0.9543 0.1815 -0.2559 8
-0.3817 0.9600 0.1728 -0.3867 10
-0.4153 0.9610 0.1740 -0.3003 13
-0.4372 0.9666 0.1603 -0.4039 15
-0.3929 0.9388 0.2237 -0.2901 12
-0.4852 0.9615 0.1751 -0.4695 8
-0.3672 0.9370 0.2222 -0.1180 14
-0.3025 0.9526 0.1830 -0.2696 17
-0.4474 0.9602 0.1539 -0.4401 9
-0.4922 0.9676 0.1550 -0.3195 9
-0.3579 0.9555 0.1884 -0.2660 15
-0.4527 0.9530 0.1883 -0.3200 15
-0.3667 0.9772 0.1320 -0.3197 14
-0.3605 0.9651 0.1737 -0.3544 16
-0.4880 0.9651 0.1608 -0.0873 11
-0.3383 0.9761 0.1262 -0.3286 16
-0.3299 0.9694 0.1655 -0.2406 15
-0.4570 0.9568 0.1696 -0.3116 7
-0.4466 0.9577 0.1530 -0.3277 11
-0.3498 0.9705 0.1693 -0.1174 35
-0.3585 0.9617 0.1788 -0.2962 11
-0.4710 0.9717 0.1542 -0.3063 9
-0.3287 0.9589 0.1972 -0.3612 21
-0.4032 0.9667 0.1644 -0.3774 14
-0.3811 0.9578 0.1730 -0.3979 10
-0.4091 0.9534 0.1754 -0.2998 9
-0.3633 0.9635 0.1744 -0.3483 15
-0.3798 0.9641 0.1635 -0.3307 11
-0.4823 0.9763 0.1253 -0.2936 9
-0.3822 0.9545 0.2069 -0.3351 20
-0.4669 0.9696 0.1455 -0.2884 8
-0.3426 0.9632 0.1772 -0.2442 19
-0.3648 0.9631 0.1833 -0.3339 13
-0.3529 0.9650 0.1910 -0.3464 15
-0.4720 0.9686 0.1394 -0.3740 12
-0.3180 0.9549 0.1674 -0.4104 36
-0.3473 0.9704 0.1618 -0.2460 14
-0.4813 0.9686 0.1432 -0.4337 10
-0.4487 0.9716 0.1562 -0.3056 9
-0.4345 0.9623 0.1685 -0.3520 12
-0.3429 0.9771 0.1296 -0.3741 16
-0.3529 0.9656 0.1786 -0.3673 19
-0.4473 0.9723 0.1391 -0.2271 9
-0.4508 0.9762 0.1375 -0.2376 10
-0.2798 0.9694 0.1646 -0.1619 30
-0.4411 0.9571 0.1658 -0.3268 10
-0.3934 0.9682 0.1748 -0.3777 22
-0.3454 0.9663 0.1641 -0.2363 12
-0.4453 0.9765 0.1584 -0.3659 8
-0.3711 0.9773 0.1282 -0.2933 10
-0.4375 0.9522 0.1925 -0.2607 13
-0.4732 0.9564 0.1845 -0.4764 12
-0.3472 0.9575 0.1880 -0.4494 12
-0.2876 0.9626 0.1795 -0.1955 32
-0.3081 0.9715 0.1477 -0.3725 30
-0.4101 0.9629 0.1858 -0.4215 16
-0.3740 0.9528 0.2001 -0.1407 15
-0.4289 0.9407 0.2316 -0.2444 17
-0.3621 0.9540 0.2008 -0.4971 14
-0.3353 0.9551 0.1932 -0.4315 16
-0.3112 0.9745 0.1488 -0.2115 16
-0.4744 0.9738 0.1481 -0.2426 8
-0.4270 0.9589 0.1506 -0.2494 12
-0.3960 0.9544 0.1782 -0.3139 12
-0.4291 0.9629 0.1450 -0.2984 11
-0.4768 0.9553 0.1886 -0.1474 9
-0.4196 0.9761 0.1276 -0.3293 11
-0.4293 0.9751 0.1517 -0.4605 10
-0.4085 0.9633 0.1779 -0.3276 14
-0.3940 0.9439 0.2238 -0.3789 12
-0.3509 0.9550 0.1700 -0.2549 21
-0.3561 0.9528 0.1898 -0.3591 12
-0.5305 0.9659 0.1680 -0.3682 7
-0.5179 0.9754 0.1373 -0.3314 8
-0.3364 0.9383 0.2201 -0.3204 22
-0.4169 0.9524 0.1866 -0.3030 13
-0.3087 0.9484 0.1936 -0.3300 28
-0.3363 0.9573 0.1788 -0.2889 14
-0.4219 0.9535 0.1758 -0.5005 10
-0.3909 0.9599 0.1791 -0.3827 11
-0.3713 0.9689 0.1602 -0.2875 24
-0.4121 0.9720 0.1472 -0.1945 11
-0.3630 0.9695 0.1553 -0.4059 10
-0.4338 0.9635 0.1458 -0.1551 11
-0.3824 0.9441 0.2029 -0.3007 17
-0.4624 0.9697 0.1419 -0.3834 11
-0.4066 0.9657 0.1718 -0.3878 13
-0.4814 0.9678 0.1467 -0.1853 8
-0.4444 0.9742 0.1528 -0.2729 12
-0.3036 0.9119 0.2396 -0.3113 14
-0.3748 0.9603 0.1616 -0.2913 16
-0.3742 0.9733 0.1332 -0.2839 13
-0.5349 0.9430 0.2044 -0.2304 8
-0.3655 0.9623 0.1820 -0.3553 14
-0.4862 0.9637 0.1661 -0.3420 8
-0.4743 0.9682 0.1625 -0.2930 9
-0.4611 0.9750 0.1333 -0.2449 7
-0.3729 0.9649 0.1689 -0.2493 20
-0.4154 0.9636 0.1835 -0.3233 15
-0.2992 0.9645 0.1591 -0.1399 15
-0.4308 0.9717 0.1533 -0.4556 11
-0.3554 0.9558 0.1749 -0.0782 15
-0.3775 0.9570 0.1756 -0.3049 13
-0.3759 0.9582 0.1565 -0.1561 10
-0.4406 0.9692 0.1443 -0.3119 9
-0.3665 0.9601 0.1697 -0.1797 9
-0.3739 0.9811 0.1243 -0.3430 11
-0.4780 0.9511 0.1907 -0.2380 9
-0.4411 0.9679 0.1567 -0.2625 11
-0.3810 0.9649 0.1859 -0.3894 23
-0.4222 0.9581 0.1862 -0.2995 11
-0.4378 0.9630 0.1584 -0.2410 13
-0.5076 0.9767 0.1247 -0.4357 10
-0.3179 0.9534 0.1864 -0.2911 17
-0.4088 0.9581 0.1743 -0.2837 12
-0.3853 0.9646 0.1629 -0.0904 16
-0.4438 0.9655 0.1669 -0.4330 11
-0.4193 0.9679 0.1493 -0.2385 12
-0.4298 0.9434 0.2095 -0.4874 13
-0.4124 0.9677 0.1681 -0.4935 9
-0.3651 0.9630 0.1700 -0.4679 14
-0.3329 0.9290 0.2417 -0.3291 21
-0.3565 0.9602 0.1801 -0.3888 16
-0.2850 0.9654 0.1530 -0.2798 19
-0.3665 0.9487 0.2192 -0.2983 30
-0.4246 0.9699 0.1486 -0.3007 10
-0.4326 0.9654 0.1488 -0.3542 8
-0.3574 0.9815 0.1162 -0.2004 13
-0.3560 0.9442 0.2204 -0.2551 23
-0.3987 0.9579 0.1787 -0.3899 17
-0.4013 0.9488 0.2076 -0.3824 13
-0.3809 0.9435 0.2203 -0.4016 13
-0.2885 0.9633 0.1707 -0.3429 25
-0.4677 0.9536 0.2002 -0.2137 14
-0.4252 0.9721 0.1507 -0.4785 10
-0.3054 0.9577 0.1912 -0.3911 25
-0.4019 0.9614 0.1807 -0.4160 14
-0.3295 0.9550 0.2001 -0.2446 18
-0.3175 0.9451 0.2053 -0.2245 22
-0.3864 0.9648 0.1451 -0.4795 11
-0.2953 0.9503 0.1768 -0.3253 13
-0.3747 0.9452 0.1839 -0.2186 22
-0.4237 0.9565 0.1700 -0.3038 10
-0.3526 0.9523 0.1951 -0.3377 17
-0.4066 0.9575 0.1706 -0.3290 12
-0.2466 0.9623 0.1665 -0.3910 37
-0.3754 0.9421 0.2170 -0.2735 10
-0.3499 0.9541 0.1883 -0.3739 18
-0.3731 0.9570 0.2039 -0.3390 16
-0.3245 0.9525 0.1766 -0.2946 13
-0.3533 0.9656 0.1916 -0.1191 14
-0.3898 0.9263 0.2219 -0.4340 12
-0.4357 0.9509 0.1877 -0.1679 14
-0.3797 0.9417 0.2147 -0.1484 14
-0.3833 0.9558 0.1815 -0.3637 15
-0.4293 0.9623 0.1745 -0.2401 17
-0.3749 0.9627 0.1675 -0.3865 14
-0.4426 0.9763 0.1487 -0.2212 8
-0.3028 0.9635 0.1776 -0.3480 25
-0.4412 0.9623 0.1740 -0.4044 10
-0.3628 0.9623 0.1636 -0.1972 19
-0.4236 0.9645 0.1639 -0.4404 12
-0.3509 0.9579 0.1855 -0.3808 11
-0.3616 0.9725 0.1556 -0.4707 11
-0.3380 0.9525 0.1655 -0.3620 14
-0.3363 0.9640 0.1720 -0.3524 16
-0.4924 0.9650 0.1570 -0.3038 7
-0.3575 0.9719 0.1404 -0.3771 12
-0.3568 0.9369 0.2391 -0.3484 10
-0.3312 0.9647 0.1526 -0.3756 15
-0.4468 0.9525 0.1814 -0.3818 11
-0.4394 0.9664 0.1540 -0.3586 11
-0.4851 0.9671 0.1644 -0.3648 9
-0.3916 0.9570 0.1880 -0.2566 11
-0.3804 0.9441 0.2054 -0.3892 12
-0.4185 0.9693 0.1453 -0.1701 9
-0.4618 0.9731 0.1517 -0.2708 10
-0.4174 0.9424 0.2069 -0.3647 11
-0.3713 0.9566 0.1972 -0.2815 13
-0.4560 0.9714 0.1282 -0.4329 12
-0.3525 0.9725 0.1569 -0.2894 13
-0.4070 0.9695 0.1553 -0.3364 11
-0.4078 0.9518 0.2104 -0.4199 19
-0.2742 0.9603 0.1668 -0.3023 18
-0.3970 0.9603 0.1729 -0.1560 15
-0.3339 0.9700 0.1534 -0.3728 12
-0.3759 0.9457 0.2039 -0.4203 14
-0.3604 0.9395 0.2184 -0.2701 12
-0.3497 0.9558 0.1951 -0.3964 14
-0.4175 0.9629 0.1904 -0.3186 11
-0.3990 0.9474 0.2101 -0.2326 15
-0.3763 0.9722 0.1454 -0.3358 18
-0.3638 0.9641 0.1692 -0.3339 11
-0.3850 0.9725 0.1480 -0.3233 10
-0.4116 0.9668 0.1601 -0.3602 10
-0.3759 0.9666 0.1442 -0.3412 12
-0.4743 0.9634 0.1549 -0.1290 8
-0.3454 0.9583 0.1755 -0.2087 18
-0.2950 0.9566 0.2015 -0.3373 41
-0.3835 0.9699 0.1402 -0.3326 12
-0.3688 0.9623 0.1721 -0.2364 14
-0.4337 0.9620 0.1504 -0.1387 10
-0.4260 0.9693 0.1629 -0.3047 14
-0.4417 0.9723 0.1362 -0.2758 11
-0.3144 0.9404 0.2229 -0.3591 26
-0.4653 0.9721 0.1452 -0.3547 11
-0.4533 0.9697 0.1588 -0.3410 14
-0.3245 0.9644 0.1676 -0.3528 13
-0.3420 0.9556 0.1971 -0.2690 14
-0.3809 0.9762 0.1400 -0.3335 9
-0.3758 0.9332 0.2318 -0.1858 14
-0.4648 0.9551 0.1644 -0.4291 10
-0.3767 0.9565 0.1723 -0.3580 16
-0.4134 0.9565 0.2093 -0.3958 11
-0.3722 0.9746 0.1503 -0.3678 11
-0.4629 0.9557 0.1704 -0.2436 11
-0.5042 0.9459 0.1663 -0.2884 9
-0.4129 0.9697 0.1416 -0.3015 16
-0.4749 0.9603 0.1806 -0.1805 10
-0.3605 0.9603 0.1732 -0.4221 15
-0.3753 0.9638 0.1716 -0.2644 18
-0.4063 0.9732 0.1369 -0.1495 13
-0.4632 0.9671 0.1534 -0.0407 12
-0.3121 0.9693 0.1440 -0.4031 14
-0.2830 0.9618 0.1880 -0.3979 28
-0.3290 0.9639 0.1535 -0.3464 13
-0.3503 0.9454 0.1947 -0.3069 14
-0.3805 0.9642 0.1581 -0.4175 12
-0.3238 0.9552 0.1759 -0.3059 15
-0.3616 0.9541 0.1720 -0.3335 13
-0.3740 0.9539 0.1990 -0.2310 30
-0.4399 0.9511 0.2094 -0.2682 12
-0.4123 0.9544 0.1773 -0.3927 11
-0.4411 0.9801 0.1403 -0.2473 8
-0.3896 0.9667 0.1633 -0.2633 11
-0.4294 0.9665 0.1570 -0.2854 11
-0.3166 0.9576 0.1837 -0.2963 15
-0.3650 0.9525 0.1925 -0.4505 22
-0.3144 0.9452 0.2233 -0.1872 27
-0.2512 0.9554 0.2057 -0.3992 33
-0.3799 0.9559 0.1746 -0.2792 13
-0.4342 0.9692 0.1542 -0.3898 13
-0.4008 0.9651 0.1666 -0.3749 13
-0.4164 0.9710 0.1380 -0.4119 12
-0.3931 0.9572 0.1836 -0.1030 15
-0.4507 0.9582 0.1833 -0.3352 11
-0.4398 0.9611 0.1623 -0.2547 13
-0.3473 0.9650 0.1650 -0.3505 17
-0.2931 0.9604 0.1763 -0.2164 33
-0.4472 0.9807 0.1190 -0.2790 11
-0.4087 0.9589 0.1741 -0.4752 13
-0.5098 0.9492 0.1798 -0.3445 8
-0.3312 0.9637 0.1656 -0.2547 17
-0.4657 0.9541 0.1772 -0.3064 10
-0.3014 0.9392 0.2110 -0.2955 35
-0.4785 0.9756 0.1319 -0.3952 7
-0.4532 0.9679 0.1420 -0.3490 10
-0.3678 0.9597 0.1757 -0.2883 13
-0.4790 0.9592 0.1826 -0.3786 12
-0.3777 0.9554 0.1781 -0.1758 18
-0.5454 0.9533 0.2154 -0.5115 9
-0.4955 0.9765 0.1305 -0.2782 8
-0.3979 0.9539 0.1742 -0.2625 10
-0.3728 0.9634 0.1460 -0.3346 12
-0.4416 0.9350 0.2182 -0.2645 13
-0.4264 0.9454 0.1911 -0.2019 11
-0.3688 0.9631 0.1750 -0.3047 22
-0.4298 0.9541 0.1730 -0.4150 13
-0.3508 0.9709 0.1574 -0.2011 18
-0.2730 0.9638 0.1584 -0.2248 24
-0.3469 0.9715 0.1579 -0.2723 14
-0.4674 0.9628 0.1630 -0.4819 10
