mu phi sigma nu
-0.6345 0.9773 0.1079 7
-0.2519 0.9880 0.1097 9
-0.6119 0.9776 0.1089 8
-0.2020 0.9777 0.1169 10
-0.3155 0.9773 0.1233 14
-0.5832 0.9874 0.1276 10
-0.1740 0.9837 0.0920 10
-0.3630 0.9823 0.1035 9
-0.1281 0.9790 0.1455 11
-0.3730 0.9933 0.0934 8
-0.3412 0.9933 0.0771 13
-0.4488 0.9727 0.1449 17
-0.2372 0.9852 0.0982 11
-0.3440 0.9696 0.1294 13
-0.8757 0.9887 0.1056 9
-0.5727 0.9860 0.0900 11
-0.3537 0.9831 0.1186 10
-0.3766 0.9808 0.1336 15
-0.3726 0.9792 0.1261 13
-0.1750 0.9700 0.1638 13
-0.6205 0.9767 0.1226 10
-0.4610 0.9727 0.1332 12
-0.3976 0.9861 0.1107 14
-0.2237 0.9970 0.0865 9
-0.2589 0.9791 0.1441 15
-0.5588 0.9786 0.0946 11
-0.3194 0.9885 0.1003 22
-0.5310 0.9624 0.1541 10
-0.2992 0.9908 0.0895 8
-0.6494 0.9860 0.0930 10
-0.5749 0.9896 0.0865 11
-0.3529 0.9710 0.1206 12
-0.2248 0.9649 0.1579 18
-0.1948 0.9779 0.1141 17
-0.5987 0.9885 0.0900 9
-0.2454 0.9898 0.1095 15
-0.2593 0.9798 0.1561 13
-0.3227 0.9782 0.1160 12
-0.2673 0.9862 0.1156 14
-0.6311 0.9944 0.1194 12
0.0181 0.9854 0.1252 14
-0.4844 0.9752 0.1398 9
-0.7017 0.9739 0.1387 9
-0.0721 0.9868 0.1090 9
-0.7567 0.9919 0.0876 7
-0.8459 0.9977 0.1036 8
-0.5516 0.9830 0.1045 10
-0.2669 0.9826 0.1429 8
0.0258 0.9871 0.1199 15
-0.2219 0.9873 0.1191 11
-0.4124 0.9741 0.1260 9
-0.3950 0.9886 0.1208 24
-0.4635 0.9823 0.1226 12
-0.5182 0.9915 0.0914 11
-0.4763 0.9843 0.1239 9
-0.4497 0.9806 0.1159 10
-0.2735 0.9879 0.0993 13
-0.5819 0.9838 0.1128 9
-1.0050 0.9949 0.0899 7
-0.3665 0.9677 0.1415 22
-0.3796 0.9796 0.1226 11
-0.5054 0.9812 0.1286 9
-0.5372 0.9862 0.1064 13
-0.0915 0.9827 0.1326 13
-0.1775 0.9793 0.1111 9
-0.4821 0.9629 0.1681 10
-0.4095 0.9698 0.1308 9
-0.4670 0.9753 0.1347 8
-0.3657 0.9863 0.0886 14
-0.1486 0.9842 0.1054 9
-0.4729 0.9786 0.1075 7
-0.5094 0.9789 0.1135 11
-0.4220 0.9691 0.1290 7
-0.1856 0.9826 0.1220 11
-0.2815 0.9815 0.1228 14
-0.2743 0.9735 0.1500 11
-0.3489 0.9643 0.1752 15
-0.1529 0.9798 0.1183 9
-0.4589 0.9824 0.1288 10
-0.3661 0.9791 0.1380 15
-0.4135 0.9787 0.1117 10
-0.4300 0.9913 0.0923 13
-0.4095 0.9858 0.0960 12
-0.2199 0.9862 0.1046 8
0.0212 0.9882 0.0959 12
-0.2976 0.9754 0.1285 16
-0.5363 0.9839 0.1222 14
-0.1528 0.9874 0.0900 13
-0.4675 0.9787 0.1076 8
-0.2877 0.9806 0.1192 18
-0.3310 0.9793 0.1357 12
-0.5358 0.9684 0.1163 13
-0.5773 0.9838 0.1068 11
-0.5751 0.9686 0.1372 11
-0.1851 0.9860 0.1189 10
-0.3854 0.9885 0.1012 9
-0.5459 0.9841 0.1089 10
-0.4384 0.9927 0.0989 8
-0.7056 0.9854 0.1249 10
-0.2647 0.9739 0.1312 11
-0.4962 0.9799 0.1013 9
-0.3713 0.9800 0.1218 15
-0.3957 0.9866 0.1360 11
-0.1528 0.9861 0.0941 11
-0.1363 0.9850 0.1059 13
-0.5864 0.9861 0.1052 9
-0.4258 0.9655 0.1466 14
-0.7247 0.9879 0.0911 9
-0.3685 0.9857 0.0966 8
-0.1978 0.9766 0.1362 13
-0.3790 0.9840 0.0967 9
-0.3263 0.9819 0.1218 16
-0.2755 0.9737 0.1193 10
-0.5828 0.9768 0.1082 9
-0.3633 0.9741 0.1503 11
-0.6390 0.9799 0.1276 9
-0.5395 0.9843 0.1183 10
-0.1867 0.9892 0.1075 8
0.0738 0.9911 0.1065 12
-0.2590 0.9857 0.1182 16
-0.0629 0.9939 0.1226 14
-0.1473 0.9856 0.1219 12
-0.2796 0.9833 0.1101 11
-0.2481 0.9796 0.1484 13
-0.4050 0.9759 0.1166 10
-0.1900 0.9829 0.1019 13
-0.3086 0.9842 0.1102 12
-0.3694 0.9834 0.1212 10
-0.1896 0.9847 0.1210 11
-0.1906 0.9890 0.0948 9
-0.2291 0.9846 0.1402 22
-0.4378 0.9834 0.1327 11
-0.3705 0.9702 0.1545 19
-0.3093 0.9718 0.1279 10
-0.4260 0.9695 0.1761 16
-0.3518 0.9817 0.1163 12
-0.6750 0.9847 0.1253 12
-0.5269 0.9755 0.1609 8
-0.2891 0.9872 0.1090 10
-0.6482 0.9873 0.1205 10
-0.2464 0.9822 0.1101 10
-0.2529 0.9759 0.1376 10
-0.1186 0.9808 0.1387 17
-0.3236 0.9718 0.1246 15
-0.3352 0.9751 0.1324 8
-0.5509 0.9661 0.1564 15
-0.2264 0.9935 0.1018 12
-0.3694 0.9912 0.0989 8
0.0119 0.9846 0.1323 11
-0.2772 0.9834 0.1114 9
-0.4374 0.9822 0.1243 14
-0.3871 0.9874 0.0995 9
-0.3739 0.9828 0.1141 20
-0.6180 0.9899 0.1024 14
-0.5373 0.9888 0.0984 17
-0.4818 0.9845 0.1184 14
-0.6859 0.9862 0.0906 10
-0.6049 0.9925 0.0903 10
-0.9434 0.9933 0.0928 8
-0.2547 0.9811 0.1528 14
-0.4195 0.9802 0.1073 11
-0.3011 0.9864 0.1270 22
-0.3995 0.9855 0.1037 10
-0.4721 0.9747 0.1224 15
-0.2867 0.9784 0.1236 13
-0.5491 0.9691 0.1446 9
-0.5362 0.9851 0.1106 9
-0.7053 0.9805 0.1094 8
-0.6099 0.9707 0.1666 7
-0.6484 0.9873 0.0964 10
-0.3478 0.9898 0.1076 12
-0.4734 0.9777 0.1043 9
-0.3372 0.9781 0.1087 10
-0.2321 0.9867 0.1119 9
-0.3299 0.9915 0.0983 7
-0.6156 0.9927 0.0886 11
-0.3048 0.9717 0.1282 11
-0.3613 0.9776 0.1386 12
-0.3447 0.9853 0.0912 8
-0.2560 0.9937 0.1182 10
-0.4123 0.9878 0.1225 9
-0.3419 0.9917 0.0866 8
-0.3071 0.9883 0.1008 14
-0.3101 0.9902 0.0984 11
-0.2183 0.9853 0.1170 15
-0.2353 0.9884 0.1094 9
-0.6985 0.9862 0.0817 8
-0.4647 0.9747 0.1187 11
-0.0025 0.9951 0.0807 16
-0.4075 0.9850 0.0943 12
-0.7377 0.9854 0.1314 11
-0.2732 0.9826 0.1159 11
-0.5334 0.9847 0.1075 10
-0.5675 0.9744 0.1390 9
-0.3622 0.9833 0.1183 15
-0.3034 0.9795 0.1227 12
-0.7177 0.9842 0.0958 8
-0.4204 0.9750 0.1179 20
-0.2336 0.9859 0.0894 8
-0.4627 0.9728 0.1321 11
-0.1996 0.9903 0.1217 11
-0.7305 0.9896 0.1015 7
-0.0725 0.9875 0.1142 9
-0.3187 0.9813 0.1096 13
-0.4265 0.9911 0.1010 15
-0.4007 0.9892 0.1057 10
-0.1440 0.9887 0.1008 13
-0.3676 0.9852 0.1055 11
-0.3594 0.9838 0.1075 10
-0.3247 0.9897 0.1236 13
-0.6081 0.9742 0.1329 6
-0.3569 0.9838 0.0963 8
-0.3084 0.9822 0.1032 11
-0.2599 0.9831 0.1189 12
-0.1688 0.9904 0.0818 11
-0.1133 0.9900 0.1000 10
-0.4182 0.9817 0.1330 10
-0.5091 0.9870 0.1118 9
-0.4168 0.9701 0.1253 10
-0.3044 0.9812 0.1255 9
-0.3113 0.9942 0.0796 8
-0.2375 0.9708 0.1457 19
-0.5112 0.9800 0.1374 12
-0.3165 0.9799 0.1150 12
-0.4777 0.9906 0.1110 8
-0.4421 0.9864 0.1296 8
-0.6391 0.9884 0.1210 11
-0.2017 0.9885 0.1125 11
-0.3643 0.9849 0.1168 13
-0.3526 0.9874 0.1012 10
0.0073 0.9797 0.1249 13
-0.1500 0.9723 0.1048 16
-0.7284 0.9852 0.1164 9
-0.2981 0.9768 0.1131 12
-0.4136 0.9816 0.1069 7
-0.4474 0.9770 0.1223 9
-0.4598 0.9824 0.1194 11
-0.7302 0.9929 0.0953 8
-0.2491 0.9757 0.1285 14
-0.5439 0.9830 0.0923 8
-0.5527 0.9849 0.1164 15
-0.4454 0.9862 0.1088 12
-0.2864 0.9852 0.1084 12
-0.3432 0.9844 0.1225 15
-0.3484 0.9879 0.1181 10
-0.3140 0.9748 0.1337 11
-0.3894 0.9914 0.1033 11
0.1750 0.9968 0.0820 9
-0.4208 0.9887 0.0884 11
-0.2575 0.9794 0.1160 8
-0.3894 0.9745 0.1087 8
-0.7442 0.9943 0.0989 8
0.0161 0.9907 0.1096 16
-0.1303 0.9837 0.1022 9
-0.8310 0.9788 0.1305 9
-0.2699 0.9790 0.1278 9
-0.1374 0.9832 0.1317 11
-0.6029 0.9830 0.1132 9
-0.3256 0.9847 0.1244 25
-0.3634 0.9694 0.1418 15
-0.3989 0.9920 0.1106 14
-0.4492 0.9757 0.1173 12
-0.3205 0.9836 0.1490 16
-0.1248 0.9862 0.1000 8
-0.6626 0.9868 0.1206 9
-0.5586 0.9763 0.1509 9
-0.6029 0.9754 0.1494 10
-0.3362 0.9756 0.1456 8
-0.3739 0.9769 0.1428 7
-0.6824 0.9757 0.1274 9
-0.4598 0.9915 0.0957 8
-0.1850 0.9831 0.1305 16
-0.2307 0.9800 0.1228 9
-0.6970 0.9846 0.1001 7
-0.0051 0.9819 0.1180 9
-0.6957 0.9925 0.1190 10
-0.4514 0.9845 0.1142 12
-0.0324 0.9915 0.0920 17
-0.1257 0.9795 0.1107 12
-0.1078 0.9839 0.1164 14
-0.1960 0.9887 0.1074 15
-0.1399 0.9813 0.1238 14
-0.4482 0.9899 0.1164 13
-0.3138 0.9677 0.1745 22
-0.1556 0.9809 0.1451 14
-0.7072 0.9853 0.1137 9
-0.1789 0.9898 0.1355 11
-0.4562 0.9549 0.1663 9
-0.5923 0.9859 0.1012 7
-0.3621 0.9722 0.1327 7
-0.2181 0.9800 0.1490 18
-0.3374 0.9769 0.1144 12
-0.5820 0.9874 0.0927 8
-0.3701 0.9884 0.1304 13
