mu phi sigma nu
-0.5678 0.9911 0.0977 10
-0.0934 0.9783 0.1219 12
-0.6903 0.9816 0.1144 10
-0.5456 0.9806 0.1141 9
-0.3996 0.9936 0.1006 10
-0.2313 0.9821 0.1142 11
-0.4687 0.9808 0.1170 12
-0.0981 0.9929 0.0955 13
-0.4091 0.9858 0.1041 10
-0.6214 0.9844 0.1079 14
-0.6153 0.9760 0.1062 10
-0.5217 0.9713 0.1544 9
-0.1469 0.9943 0.0963 13
-0.5386 0.9798 0.1220 9
-0.5126 0.9866 0.1006 7
-0.4776 0.9877 0.0900 8
-0.4996 0.9864 0.1129 11
-0.3802 0.9641 0.1596 10
0.6362 0.9957 0.1101 15
-0.3395 0.9810 0.1205 10
-0.3880 0.9883 0.1045 7
-0.4070 0.9675 0.1191 8
-0.3346 0.9726 0.1271 11
-0.3115 0.9855 0.0814 8
-0.4437 0.9825 0.1187 10
-0.4195 0.9743 0.1206 8
-0.1865 0.9848 0.1110 9
-0.3515 0.9799 0.1332 12
-0.1349 0.9807 0.1044 10
-0.3374 0.9784 0.1466 11
0.0304 0.9926 0.0900 12
-0.4974 0.9904 0.0999 9
-0.3870 0.9813 0.1204 9
-0.3631 0.9708 0.1631 12
-0.4311 0.9931 0.0963 12
-0.6796 0.9909 0.0918 11
-0.5762 0.9774 0.1469 13
-0.5845 0.9845 0.1061 13
-0.4372 0.9696 0.1425 14
-0.2667 0.9895 0.1003 9
-0.2419 0.9799 0.1356 10
-0.5232 0.9831 0.1034 8
0.0190 0.9930 0.0844 9
-0.1831 0.9886 0.1295 19
-0.4322 0.9786 0.1302 11
-0.4761 0.9837 0.1231 13
-0.1792 0.9870 0.1266 8
-0.2970 0.9807 0.1060 10
-0.5882 0.9850 0.1248 15
-0.3104 0.9629 0.1586 11
-0.3876 0.9842 0.1066 10
-0.4154 0.9765 0.1074 10
0.4887 0.9938 0.0958 13
0.0581 0.9810 0.1406 20
-0.4860 0.9785 0.1412 12
-0.4206 0.9916 0.1029 12
-0.3267 0.9827 0.1142 10
-0.4434 0.9909 0.0945 13
-0.6282 0.9781 0.1189 9
-0.4287 0.9911 0.1068 20
-0.4207 0.9797 0.1327 17
-0.1996 0.9791 0.1181 10
-0.1488 0.9778 0.1499 14
-0.3087 0.9892 0.1171 11
-0.1280 0.9833 0.1215 9
-0.5021 0.9930 0.1080 8
-0.3000 0.9850 0.1069 14
-0.4587 0.9868 0.1072 10
-0.2368 0.9877 0.0938 10
-0.3215 0.9831 0.1374 13
-0.2113 0.9706 0.1599 14
-0.5761 0.9882 0.1075 11
-0.5044 0.9839 0.0988 10
-0.2627 0.9707 0.1418 17
-0.4628 0.9880 0.1145 9
-0.4796 0.9765 0.0943 10
-0.4342 0.9865 0.1157 19
-0.5537 0.9739 0.1400 14
-0.4366 0.9853 0.1089 8
-0.3799 0.9925 0.0937 8
-0.7548 0.9924 0.0957 13
-0.4502 0.9850 0.1244 11
-0.4541 0.9881 0.0858 8
-0.2009 0.9828 0.1308 8
0.6010 0.9990 0.0951 9
-0.7526 0.9843 0.1127 18
0.1260 0.9960 0.0880 9
-0.5230 0.9734 0.1371 11
-0.1210 0.9952 0.0909 10
-0.3551 0.9679 0.1349 10
-0.9150 0.9858 0.1133 13
-0.2025 0.9718 0.1391 8
-0.6357 0.9927 0.1034 13
-0.2820 0.9827 0.0965 10
-0.6400 0.9828 0.1272 13
-0.6059 0.9901 0.0975 7
-0.1953 0.9825 0.1461 13
-0.6230 0.9857 0.1131 7
-0.2055 0.9685 0.1349 15
-0.4816 0.9795 0.1288 24
-0.3471 0.9786 0.1105 9
-0.2293 0.9801 0.1176 11
-0.2625 0.9900 0.0935 11
-0.3541 0.9735 0.1375 21
-0.1682 0.9885 0.1208 15
-0.4034 0.9785 0.1276 8
-0.4152 0.9766 0.1323 9
0.3610 0.9990 0.0987 10
-0.5779 0.9638 0.1395 9
-0.0581 0.9909 0.0940 10
-0.5147 0.9705 0.1539 10
-0.3901 0.9906 0.0943 9
-0.5419 0.9820 0.1206 12
-0.3944 0.9823 0.0957 14
-0.5457 0.9882 0.1194 11
-0.5086 0.9885 0.1044 8
-0.5450 0.9666 0.1323 10
-0.6988 0.9855 0.0973 8
-0.2145 0.9858 0.0950 7
-0.5353 0.9742 0.1288 14
-0.7121 0.9866 0.1198 8
-0.2944 0.9871 0.0949 12
-0.3578 0.9918 0.1015 14
-0.2933 0.9833 0.0981 7
-0.3220 0.9801 0.1157 7
-0.1240 0.9909 0.0953 11
-0.5353 0.9862 0.1024 10
-0.4911 0.9802 0.1234 9
-0.3472 0.9782 0.1260 14
-0.3320 0.9897 0.1215 14
-0.3059 0.9793 0.1340 14
-0.2444 0.9916 0.0888 8
-0.3795 0.9924 0.0896 10
-0.4064 0.9771 0.1261 10
-0.5717 0.9835 0.0857 8
-0.4782 0.9755 0.0946 7
-0.3230 0.9831 0.1326 9
-0.1980 0.9894 0.1247 9
-0.1491 0.9744 0.1245 16
-0.4882 0.9792 0.1121 8
-0.3796 0.9795 0.1271 19
-0.1112 0.9796 0.1150 12
-0.2501 0.9885 0.1169 11
-0.2025 0.9746 0.1333 9
-0.3864 0.9856 0.0998 11
2.5346 0.9990 0.1150 8
-0.2719 0.9797 0.1398 17
-0.6126 0.9862 0.0972 10
-0.5005 0.9740 0.1158 13
-0.3277 0.9768 0.1136 12
-0.1111 0.9922 0.0863 12
-0.1675 0.9794 0.1257 8
-0.1394 0.9791 0.1191 10
-0.6791 0.9801 0.1096 13
-1.0104 0.9971 0.0981 7
-0.5132 0.9767 0.1157 15
-0.2698 0.9819 0.1149 13
-0.2112 0.9873 0.0994 14
-0.3112 0.9787 0.1110 12
-0.6832 0.9791 0.1503 8
-0.2826 0.9925 0.0937 11
-0.3089 0.9744 0.1334 13
-0.3816 0.9781 0.0979 8
-0.2834 0.9898 0.0893 10
-0.3322 0.9891 0.1248 13
-0.7066 0.9801 0.1170 9
-0.5555 0.9901 0.1066 8
-0.6769 0.9734 0.1425 8
-0.4248 0.9754 0.1226 10
-0.5726 0.9810 0.1169 8
-0.2894 0.9691 0.1468 18
-0.1604 0.9858 0.1023 10
-0.0833 0.9828 0.1252 13
-0.2674 0.9845 0.1001 11
-0.6259 0.9758 0.1282 9
-0.4108 0.9783 0.1185 12
-0.2230 0.9872 0.1075 11
-0.2710 0.9902 0.0963 12
-0.2675 0.9917 0.0944 13
0.0279 0.9901 0.1066 7
-0.7859 0.9745 0.1314 7
-0.4851 0.9842 0.1365 12
-0.3245 0.9846 0.1043 11
-0.2186 0.9720 0.1119 14
-0.1085 0.9870 0.1024 10
-0.3546 0.9911 0.0981 14
-0.6069 0.9801 0.1238 11
-0.3381 0.9897 0.0892 10
-1.7935 0.9990 0.1043 9
-0.4692 0.9762 0.1009 10
-0.1601 0.9840 0.1323 12
-0.2628 0.9885 0.1107 8
-0.2465 0.9866 0.0930 11
-0.5293 0.9906 0.1012 12
-0.0872 0.9776 0.1293 11
-0.3919 0.9806 0.1442 17
-0.7966 0.9833 0.1522 11
-0.5884 0.9888 0.0829 8
-0.5448 0.9638 0.1589 15
-0.2506 0.9784 0.1064 14
0.0270 0.9906 0.1081 14
-0.2295 0.9929 0.0993 9
-0.4588 0.9875 0.1004 14
-0.1467 0.9790 0.1281 11
-0.3544 0.9823 0.1301 12
-0.5794 0.9652 0.1332 8
-0.4459 0.9787 0.1168 12
-0.2988 0.9845 0.1051 14
-0.2741 0.9784 0.1313 9
-0.4337 0.9857 0.1105 9
-0.4278 0.9813 0.1132 10
0.2330 0.9937 0.1046 9
-0.4059 0.9898 0.0980 13
-0.0143 0.9936 0.0974 14
-0.5289 0.9704 0.1495 14
-0.4181 0.9764 0.1118 9
-0.3824 0.9854 0.1160 9
-0.4248 0.9800 0.1248 11
-0.4058 0.9772 0.1053 11
-0.5966 0.9889 0.1111 11
-0.5178 0.9839 0.1110 15
-0.7021 0.9779 0.1330 9
-0.2096 0.9839 0.1116 11
