mu phi sigma rho nu
-0.3886 0.9657 0.1640 -0.2557 14
-0.3984 0.9655 0.1663 -0.2830 14
-0.4015 0.9649 0.1674 -0.3262 12
-0.4097 0.9644 0.1631 -0.2915 15
-0.3900 0.9655 0.1633 -0.2788 15
-0.3783 0.9641 0.1605 -0.2818 14
-0.3913 0.9654 0.1614 -0.2715 12
-0.3779 0.9696 0.1562 -0.2926 17
-0.3945 0.9710 0.1614 -0.3229 13
-0.3844 0.9710 0.1545 -0.3228 14
-0.4033 0.9697 0.1543 -0.3130 12
-0.3977 0.9741 0.1567 -0.3283 13
-0.3833 0.9736 0.1534 -0.3312 13
-0.3694 0.9742 0.1480 -0.3183 15
-0.3890 0.9719 0.1447 -0.3176 14
-0.3734 0.9723 0.1455 -0.3302 14
-0.3988 0.9720 0.1435 -0.3154 11
-0.3829 0.9763 0.1468 -0.3268 11
-0.3921 0.9755 0.1454 -0.3107 13
-0.3653 0.9752 0.1490 -0.3233 16
-0.3997 0.9766 0.1522 -0.3306 14
-0.3778 0.9712 0.1511 -0.3221 14
-0.4214 0.9760 0.1495 -0.3357 13
-0.4235 0.9767 0.1488 -0.3419 9
-0.4102 0.9770 0.1487 -0.3455 11
-0.3867 0.9749 0.1490 -0.3381 11
-0.3851 0.9771 0.1463 -0.3386 12
-0.4095 0.9748 0.1482 -0.3329 12
-0.4002 0.9765 0.1481 -0.3271 13
-0.4107 0.9757 0.1476 -0.3416 10
-0.4014 0.9776 0.1411 -0.3100 12
-0.3869 0.9779 0.1408 -0.2567 17
-0.3750 0.9763 0.1352 -0.2274 14
-0.3779 0.9772 0.1322 -0.2493 12
-0.3848 0.9779 0.1344 -0.2574 14
-0.4188 0.9802 0.1312 -0.2556 11
-0.4081 0.9775 0.1319 -0.2387 9
-0.3915 0.9802 0.1330 -0.2934 11
-0.3978 0.9775 0.1330 -0.2867 10
-0.3648 0.9763 0.1334 -0.2769 12
-0.3872 0.9797 0.1304 -0.2800 12
-0.3881 0.9750 0.1336 -0.2640 12
-0.3930 0.9777 0.1289 -0.2438 11
-0.3797 0.9766 0.1283 -0.2123 9
-0.4002 0.9780 0.1335 -0.2604 11
-0.4181 0.9774 0.1333 -0.2437 11
-0.4035 0.9800 0.1321 -0.2140 13
-0.4347 0.9800 0.1320 -0.2046 12
-0.4089 0.9772 0.1331 -0.2593 13
-0.3969 0.9777 0.1325 -0.2327 14
-0.4044 0.9777 0.1359 -0.2252 10
-0.3706 0.9787 0.1387 -0.1789 10
-0.3808 0.9760 0.1388 -0.1720 14
-0.4067 0.9797 0.1377 -0.1858 12
-0.4194 0.9794 0.1327 -0.2416 11
-0.3746 0.9772 0.1359 -0.2676 10
-0.3870 0.9803 0.1419 -0.2703 11
-0.4024 0.9767 0.1384 -0.2177 15
-0.4082 0.9767 0.1402 -0.1919 10
-0.3896 0.9771 0.1401 -0.1855 10
-0.3926 0.9789 0.1438 -0.2313 19
-0.4052 0.9749 0.1386 -0.1993 12
-0.3802 0.9770 0.1351 -0.1722 12
-0.3839 0.9771 0.1337 -0.1696 13
-0.3976 0.9776 0.1368 -0.1997 10
-0.3907 0.9766 0.1336 -0.1791 11
-0.4092 0.9788 0.1405 -0.1781 11
-0.4075 0.9748 0.1363 -0.1853 10
-0.3770 0.9779 0.1395 -0.1838 13
-0.3680 0.9753 0.1354 -0.1418 17
-0.3792 0.9792 0.1317 -0.0806 10
-0.3797 0.9784 0.1442 -0.1371 17
-0.4185 0.9723 0.1445 -0.1485 13
-0.3773 0.9763 0.1469 -0.1697 14
-0.3953 0.9757 0.1477 -0.1612 13
-0.3658 0.9714 0.1473 -0.2364 13
-0.3664 0.9762 0.1400 -0.2347 19
-0.3468 0.9719 0.1455 -0.2083 15
-0.4003 0.9762 0.1431 -0.1913 16
-0.3861 0.9756 0.1492 -0.2406 18
-0.3797 0.9719 0.1459 -0.1734 18
-0.4007 0.9736 0.1511 -0.2144 12
-0.4037 0.9732 0.1485 -0.1978 11
-0.3914 0.9748 0.1524 -0.1774 12
-0.3750 0.9697 0.1530 -0.1818 12
-0.3762 0.9747 0.1499 -0.2437 11
-0.3860 0.9719 0.1496 -0.2414 14
-0.3706 0.9751 0.1547 -0.2603 13
-0.3856 0.9713 0.1517 -0.1850 16
-0.3658 0.9702 0.1522 -0.2353 15
-0.3684 0.9714 0.1583 -0.2570 15
-0.3877 0.9692 0.1607 -0.2631 11
-0.3511 0.9732 0.1568 -0.2569 10
-0.3666 0.9707 0.1570 -0.2133 11
-0.3729 0.9749 0.1602 -0.1935 13
-0.3751 0.9686 0.1643 -0.2113 16
-0.3785 0.9672 0.1607 -0.2677 22
-0.3829 0.9731 0.1550 -0.1996 12
-0.3612 0.9705 0.1545 -0.2356 18
-0.3537 0.9702 0.1535 -0.2616 11
-0.3726 0.9705 0.1559 -0.2593 13
-0.3653 0.9712 0.1501 -0.2513 16
-0.3600 0.9749 0.1483 -0.2363 13
-0.3624 0.9768 0.1460 -0.2325 13
-0.3249 0.9710 0.1525 -0.2301 11
-0.3504 0.9759 0.1458 -0.2283 10
-0.3516 0.9783 0.1453 -0.2045 13
-0.3429 0.9774 0.1475 -0.2308 16
-0.3465 0.9768 0.1450 -0.2591 22
-0.3286 0.9772 0.1455 -0.2127 17
-0.3655 0.9767 0.1464 -0.2146 18
-0.3679 0.9726 0.1504 -0.2613 13
-0.3469 0.9769 0.1518 -0.2992 18
-0.3428 0.9775 0.1455 -0.3071 13
-0.3512 0.9767 0.1416 -0.2672 19
-0.3493 0.9757 0.1436 -0.2987 12
-0.3468 0.9774 0.1501 -0.2919 16
-0.3300 0.9753 0.1522 -0.3072 13
-0.3354 0.9707 0.1567 -0.3008 20
-0.3372 0.9741 0.1563 -0.3427 15
-0.3661 0.9684 0.1705 -0.3752 16
-0.3273 0.9692 0.1658 -0.3340 13
-0.3431 0.9686 0.1603 -0.3085 17
-0.3388 0.9692 0.1595 -0.3112 16
-0.3459 0.9677 0.1593 -0.3448 15
-0.3507 0.9697 0.1541 -0.3369 19
-0.3254 0.9713 0.1563 -0.3872 12
-0.3252 0.9739 0.1591 -0.3834 14
-0.3253 0.9744 0.1561 -0.3733 16
-0.3104 0.9759 0.1525 -0.3579 17
-0.2984 0.9752 0.1479 -0.3431 20
-0.3302 0.9732 0.1437 -0.3060 16
-0.3058 0.9778 0.1451 -0.2988 19
-0.3403 0.9723 0.1452 -0.3335 15
-0.3348 0.9765 0.1492 -0.3139 11
-0.3236 0.9714 0.1512 -0.3591 14
-0.3239 0.9765 0.1510 -0.3393 18
-0.3142 0.9714 0.1538 -0.3641 17
-0.3220 0.9723 0.1506 -0.3630 11
-0.3590 0.9743 0.1558 -0.3565 28
-0.3373 0.9761 0.1475 -0.3507 20
-0.3224 0.9780 0.1433 -0.3373 16
-0.3345 0.9763 0.1411 -0.3944 16
-0.3477 0.9779 0.1341 -0.3838 19
-0.3489 0.9760 0.1388 -0.3825 16
-0.3331 0.9789 0.1420 -0.3841 27
-0.3355 0.9787 0.1405 -0.3780 12
-0.3391 0.9742 0.1457 -0.4033 17
-0.3343 0.9744 0.1495 -0.4274 20
-0.3327 0.9777 0.1437 -0.4343 13
-0.3336 0.9794 0.1391 -0.4257 19
-0.3129 0.9787 0.1412 -0.4131 16
-0.3615 0.9807 0.1410 -0.4652 12
-0.3354 0.9780 0.1366 -0.4180 21
-0.3323 0.9801 0.1379 -0.4381 15
-0.3602 0.9787 0.1351 -0.4254 18
-0.3671 0.9791 0.1340 -0.4406 12
-0.3321 0.9817 0.1345 -0.4292 14
-0.3259 0.9794 0.1350 -0.4570 16
-0.3626 0.9801 0.1375 -0.4474 20
-0.3464 0.9788 0.1404 -0.4705 16
-0.3680 0.9794 0.1417 -0.4570 17
-0.3615 0.9780 0.1386 -0.4358 21
-0.3339 0.9772 0.1388 -0.4194 21
-0.3499 0.9768 0.1358 -0.4150 12
-0.3229 0.9770 0.1385 -0.4214 13
-0.3359 0.9802 0.1349 -0.4107 22
-0.3756 0.9788 0.1378 -0.4129 19
-0.3609 0.9781 0.1328 -0.4041 16
-0.3209 0.9778 0.1339 -0.4028 14
-0.3293 0.9778 0.1332 -0.4201 13
-0.3323 0.9776 0.1357 -0.4089 24
-0.3463 0.9782 0.1341 -0.4277 15
-0.3237 0.9794 0.1368 -0.4328 15
-0.3491 0.9790 0.1302 -0.4516 15
-0.3067 0.9818 0.1303 -0.3938 17
-0.3213 0.9795 0.1256 -0.3644 15
-0.3255 0.9797 0.1303 -0.3654 15
-0.3244 0.9796 0.1286 -0.3377 12
-0.3205 0.9808 0.1325 -0.3274 31
-0.3533 0.9785 0.1325 -0.3319 18
-0.3110 0.9787 0.1340 -0.2990 15
-0.3036 0.9784 0.1321 -0.3143 19
-0.3449 0.9786 0.1351 -0.3269 16
-0.3281 0.9778 0.1397 -0.3645 14
-0.3480 0.9806 0.1390 -0.3510 15
-0.3005 0.9753 0.1455 -0.3341 23
-0.3290 0.9780 0.1465 -0.3347 17
-0.3291 0.9755 0.1446 -0.3584 26
-0.3219 0.9784 0.1491 -0.3517 28
-0.3376 0.9788 0.1453 -0.3692 17
-0.3306 0.9760 0.1444 -0.3680 17
-0.3185 0.9783 0.1458 -0.3623 15
-0.3217 0.9764 0.1457 -0.3425 19
-0.3296 0.9776 0.1498 -0.3193 26
-0.3101 0.9776 0.1487 -0.2795 18
-0.2938 0.9763 0.1526 -0.2964 16
-0.3491 0.9712 0.1514 -0.2932 29
-0.3377 0.9769 0.1499 -0.2945 17
-0.3596 0.9740 0.1538 -0.2575 21
-0.3286 0.9719 0.1559 -0.2848 17
-0.3379 0.9768 0.1538 -0.2668 21
-0.3216 0.9721 0.1513 -0.2627 19
-0.3249 0.9714 0.1554 -0.2520 20
-0.3235 0.9745 0.1535 -0.2475 20
-0.3208 0.9749 0.1576 -0.2886 19
-0.3417 0.9747 0.1565 -0.2575 15
-0.3538 0.9761 0.1538 -0.2427 23
-0.3327 0.9763 0.1492 -0.2613 18
-0.3280 0.9768 0.1524 -0.2717 19
-0.3317 0.9707 0.1540 -0.2455 21
-0.3346 0.9756 0.1483 -0.2525 21
-0.3311 0.9752 0.1495 -0.2400 22
-0.3269 0.9761 0.1464 -0.2141 16
-0.3549 0.9745 0.1439 -0.1634 16
-0.3672 0.9726 0.1476 -0.2248 18
-0.3432 0.9722 0.1468 -0.2027 17
-0.3433 0.9765 0.1518 -0.1979 13
-0.3196 0.9756 0.1491 -0.2311 15
-0.3414 0.9760 0.1476 -0.2571 12
-0.3502 0.9762 0.1461 -0.2376 17
-0.3270 0.9765 0.1484 -0.2682 26
-0.3407 0.9719 0.1481 -0.2605 14
-0.3401 0.9720 0.1484 -0.2718 28
-0.3667 0.9712 0.1500 -0.2745 15
-0.3588 0.9763 0.1486 -0.3074 16
-0.3433 0.9767 0.1473 -0.3184 18
-0.3383 0.9765 0.1476 -0.3493 11
-0.3420 0.9772 0.1454 -0.3392 19
-0.3590 0.9775 0.1493 -0.3031 13
-0.3003 0.9688 0.1523 -0.2822 13
-0.3716 0.9757 0.1503 -0.2868 16
-0.3492 0.9763 0.1503 -0.3170 15
-0.3723 0.9766 0.1565 -0.3614 13
-0.3701 0.9740 0.1493 -0.3269 18
-0.3778 0.9747 0.1456 -0.3099 12
-0.3558 0.9788 0.1479 -0.3431 14
-0.3251 0.9732 0.1474 -0.3694 15
-0.3919 0.9755 0.1455 -0.3587 13
-0.4212 0.9775 0.1426 -0.3580 13
-0.3784 0.9774 0.1456 -0.3458 11
-0.3728 0.9757 0.1406 -0.2616 11
-0.3586 0.9762 0.1430 -0.2731 14
-0.3858 0.9751 0.1456 -0.2622 15
-0.3958 0.9771 0.1472 -0.2895 10
-0.4166 0.9783 0.1452 -0.2794 10
-0.4220 0.9773 0.1451 -0.2627 11
-0.3803 0.9766 0.1477 -0.2355 14
-0.3852 0.9715 0.1517 -0.2249 11
-0.4076 0.9750 0.1501 -0.2077 10
-0.3895 0.9743 0.1477 -0.2338 15
-0.3990 0.9763 0.1396 -0.2349 9
-0.4182 0.9729 0.1474 -0.2040 11
-0.4388 0.9712 0.1484 -0.1955 12
-0.4141 0.9712 0.1492 -0.2017 10
-0.4035 0.9705 0.1480 -0.1773 14
-0.4159 0.9754 0.1541 -0.2089 10
-0.4232 0.9716 0.1481 -0.2235 13
-0.4218 0.9758 0.1466 -0.1972 9
-0.3993 0.9712 0.1520 -0.2253 11
-0.4372 0.9723 0.1587 -0.2507 9
-0.4163 0.9686 0.1573 -0.2502 12
-0.4127 0.9692 0.1554 -0.2774 10
-0.4083 0.9696 0.1513 -0.3256 14
-0.3951 0.9702 0.1517 -0.3120 13
-0.4043 0.9727 0.1569 -0.3265 11
-0.4277 0.9705 0.1553 -0.3124 13
-0.4146 0.9702 0.1562 -0.3342 10
-0.4457 0.9746 0.1520 -0.3346 13
-0.4305 0.9719 0.1557 -0.3504 10
-0.4316 0.9755 0.1565 -0.3582 9
-0.3924 0.9705 0.1526 -0.3126 15
-0.4093 0.9736 0.1507 -0.3017 12
-0.4082 0.9760 0.1485 -0.2984 9
-0.4291 0.9750 0.1502 -0.3249 10
-0.4127 0.9763 0.1444 -0.3252 10
-0.4173 0.9773 0.1424 -0.2658 12
-0.3708 0.9720 0.1464 -0.2655 10
-0.4147 0.9712 0.1472 -0.2258 10
-0.4368 0.9719 0.1481 -0.2249 11
-0.4135 0.9705 0.1516 -0.2591 10
-0.4388 0.9749 0.1507 -0.2347 10
-0.4360 0.9705 0.1526 -0.3051 12
-0.4322 0.9753 0.1489 -0.2772 11
-0.4480 0.9767 0.1469 -0.2606 12
-0.4370 0.9771 0.1495 -0.3042 10
-0.4615 0.9756 0.1509 -0.3146 10
-0.4213 0.9726 0.1511 -0.2986 12
-0.4459 0.9748 0.1494 -0.3040 11
-0.4059 0.9755 0.1479 -0.3249 10
-0.4189 0.9745 0.1469 -0.2938 11
-0.4143 0.9753 0.1370 -0.2706 13
-0.3976 0.9760 0.1394 -0.2811 13
-0.4135 0.9781 0.1452 -0.2622 9
-0.4402 0.9770 0.1460 -0.2353 11
-0.4251 0.9785 0.1381 -0.2107 13
-0.4196 0.9787 0.1382 -0.2396 13
-0.3846 0.9782 0.1430 -0.2446 16
-0.3937 0.9761 0.1383 -0.2284 11
-0.4016 0.9760 0.1381 -0.2657 13
-0.3949 0.9763 0.1406 -0.3104 13
-0.4255 0.9775 0.1429 -0.3357 11
-0.3935 0.9780 0.1478 -0.3376 13
-0.4129 0.9726 0.1501 -0.2962 14
-0.4182 0.9767 0.1435 -0.2768 12
-0.3473 0.9719 0.1479 -0.3038 15
-0.3988 0.9771 0.1488 -0.3004 10
-0.4093 0.9770 0.1495 -0.2851 14
-0.3950 0.9754 0.1493 -0.2631 15
-0.3959 0.9774 0.1491 -0.2736 11
-0.3951 0.9787 0.1403 -0.2437 12
-0.3763 0.9741 0.1443 -0.2977 13
-0.3958 0.9759 0.1411 -0.3076 16
-0.3916 0.9768 0.1468 -0.3147 14
-0.3843 0.9758 0.1428 -0.2360 15
-0.3583 0.9727 0.1475 -0.2290 12
-0.3952 0.9777 0.1482 -0.2840 13
-0.4271 0.9732 0.1492 -0.2889 13
-0.3847 0.9766 0.1542 -0.2530 14
-0.3862 0.9757 0.1534 -0.2536 13
-0.3955 0.9763 0.1492 -0.2659 9
-0.4000 0.9763 0.1501 -0.3054 11
-0.4224 0.9745 0.1499 -0.2781 11
-0.3937 0.9764 0.1512 -0.2878 12
-0.3951 0.9754 0.1542 -0.2617 10
-0.3968 0.9753 0.1549 -0.2764 13
-0.4197 0.9712 0.1512 -0.2508 11
-0.4005 0.9732 0.1509 -0.2511 13
-0.3815 0.9746 0.1507 -0.3045 11
-0.3983 0.9759 0.1481 -0.3169 15
-0.4061 0.9742 0.1447 -0.2829 10
-0.4202 0.9773 0.1389 -0.2458 11
-0.3752 0.9765 0.1434 -0.2456 13
-0.3985 0.9767 0.1455 -0.2397 20
-0.3942 0.9765 0.1410 -0.2457 14
-0.4107 0.9747 0.1413 -0.2996 18
-0.3727 0.9769 0.1438 -0.2760 10
-0.3660 0.9744 0.1426 -0.2351 18
-0.4001 0.9739 0.1353 -0.2060 15
-0.3887 0.9787 0.1283 -0.1801 15
-0.3999 0.9794 0.1312 -0.1758 12
-0.3518 0.9792 0.1304 -0.2293 18
-0.4002 0.9762 0.1334 -0.2477 11
-0.3798 0.9757 0.1314 -0.2521 15
-0.3848 0.9759 0.1302 -0.2636 14
-0.3774 0.9759 0.1300 -0.2730 12
-0.3912 0.9761 0.1329 -0.2647 11
-0.3801 0.9755 0.1355 -0.2534 13
-0.3630 0.9779 0.1386 -0.2763 12
-0.3962 0.9773 0.1389 -0.2528 12
-0.3480 0.9753 0.1377 -0.2121 15
-0.3810 0.9788 0.1373 -0.2205 14
-0.3837 0.9778 0.1420 -0.1868 13
-0.3738 0.9745 0.1469 -0.2203 13
-0.3875 0.9778 0.1431 -0.2219 10
-0.3616 0.9763 0.1473 -0.2160 11
-0.3790 0.9737 0.1495 -0.2896 9
-0.3861 0.9766 0.1491 -0.3020 13
-0.3974 0.9739 0.1534 -0.3437 10
-0.3645 0.9744 0.1571 -0.3667 12
-0.3803 0.9733 0.1532 -0.3388 10
-0.3960 0.9742 0.1507 -0.3594 13
-0.4023 0.9744 0.1497 -0.3987 14
-0.3992 0.9775 0.1512 -0.4128 10
-0.3924 0.9770 0.1561 -0.4183 15
-0.4049 0.9763 0.1602 -0.4428 12
-0.4284 0.9739 0.1557 -0.4641 10
-0.4524 0.9749 0.1520 -0.4280 11
-0.4342 0.9742 0.1590 -0.4073 11
-0.3999 0.9716 0.1550 -0.4386 9
-0.3990 0.9755 0.1546 -0.4464 11
-0.4109 0.9746 0.1525 -0.4302 9
-0.3955 0.9726 0.1556 -0.4049 12
-0.4055 0.9733 0.1626 -0.3967 13
-0.4155 0.9701 0.1572 -0.3382 11
-0.4047 0.9741 0.1561 -0.3024 11
-0.4342 0.9696 0.1529 -0.3340 16
-0.4241 0.9741 0.1541 -0.3082 11
-0.3966 0.9707 0.1528 -0.2666 13
-0.4280 0.9739 0.1568 -0.3131 13
-0.4138 0.9741 0.1541 -0.3281 14
-0.4337 0.9702 0.1550 -0.3328 12
-0.4140 0.9731 0.1577 -0.3161 10
-0.4219 0.9699 0.1596 -0.3210 11
-0.4054 0.9681 0.1617 -0.2938 12
-0.4169 0.9732 0.1634 -0.2856 10
-0.4186 0.9731 0.1595 -0.3081 14
-0.4132 0.9734 0.1581 -0.3498 13
-0.4005 0.9747 0.1563 -0.3410 12
-0.4075 0.9701 0.1544 -0.3063 11
-0.3945 0.9694 0.1598 -0.3143 11
-0.3971 0.9692 0.1618 -0.3142 12
-0.3966 0.9714 0.1568 -0.2957 11
-0.4298 0.9681 0.1631 -0.2782 10
-0.4404 0.9671 0.1614 -0.3005 10
-0.4050 0.9715 0.1633 -0.2878 11
-0.4181 0.9710 0.1630 -0.2930 8
-0.4307 0.9674 0.1587 -0.3073 11
-0.4305 0.9700 0.1584 -0.3098 10
-0.4354 0.9754 0.1518 -0.2833 10
-0.4197 0.9727 0.1509 -0.2769 11
-0.4074 0.9730 0.1592 -0.2746 9
-0.4136 0.9682 0.1575 -0.2462 9
-0.4111 0.9714 0.1550 -0.3019 13
-0.4264 0.9717 0.1611 -0.2919 11
-0.4168 0.9724 0.1612 -0.3254 15
-0.4404 0.9709 0.1653 -0.3189 11
-0.4292 0.9678 0.1632 -0.3226 11
-0.4172 0.9707 0.1575 -0.2772 11
-0.4122 0.9715 0.1574 -0.2719 8
-0.4197 0.9661 0.1608 -0.3301 10
-0.4146 0.9711 0.1614 -0.3054 9
-0.4233 0.9708 0.1591 -0.3018 9
-0.4245 0.9721 0.1617 -0.3274 9
-0.4172 0.9697 0.1618 -0.2931 9
-0.4342 0.9678 0.1675 -0.3584 13
-0.4360 0.9673 0.1720 -0.3747 9
-0.4154 0.9639 0.1723 -0.3794 13
-0.4424 0.9640 0.1691 -0.3564 10
-0.4418 0.9638 0.1716 -0.3582 9
-0.4338 0.9649 0.1681 -0.3540 11
-0.4439 0.9633 0.1652 -0.3633 10
-0.4291 0.9655 0.1692 -0.3665 10
-0.3992 0.9626 0.1722 -0.3619 13
-0.4544 0.9622 0.1715 -0.3483 11
-0.4380 0.9628 0.1728 -0.3481 10
-0.4370 0.9612 0.1743 -0.3877 10
-0.4311 0.9628 0.1692 -0.3741 10
-0.4145 0.9643 0.1676 -0.3672 10
-0.4197 0.9628 0.1698 -0.3363 15
-0.4619 0.9625 0.1713 -0.3147 11
-0.4472 0.9600 0.1740 -0.3325 8
-0.4303 0.9621 0.1674 -0.3182 15
-0.4412 0.9622 0.1662 -0.3589 9
-0.4472 0.9626 0.1721 -0.3642 14
-0.4198 0.9577 0.1651 -0.3281 11
-0.4315 0.9626 0.1610 -0.3184 9
-0.4417 0.9639 0.1652 -0.3185 11
-0.4551 0.9631 0.1692 -0.3478 9
-0.4341 0.9622 0.1660 -0.3603 11
-0.4517 0.9647 0.1651 -0.3749 10
-0.4460 0.9652 0.1644 -0.3766 12
-0.4378 0.9651 0.1712 -0.3730 10
-0.4488 0.9631 0.1689 -0.3771 15
-0.4568 0.9644 0.1648 -0.4007 12
-0.4645 0.9695 0.1579 -0.3884 9
-0.4665 0.9711 0.1580 -0.3126 10
-0.4459 0.9694 0.1628 -0.3604 9
-0.4379 0.9653 0.1629 -0.3879 14
-0.4697 0.9697 0.1582 -0.3469 9
-0.4493 0.9659 0.1637 -0.3185 8
-0.4620 0.9632 0.1617 -0.3451 10
-0.4345 0.9650 0.1672 -0.3895 8
-0.4568 0.9647 0.1606 -0.3427 12
-0.4585 0.9638 0.1618 -0.3878 11
-0.4325 0.9664 0.1654 -0.3570 11
-0.4547 0.9640 0.1664 -0.3454 8
-0.4303 0.9642 0.1712 -0.3556 11
-0.4487 0.9585 0.1767 -0.4112 14
-0.4498 0.9638 0.1702 -0.4085 11
-0.4373 0.9645 0.1660 -0.4004 13
-0.4523 0.9653 0.1634 -0.3575 10
-0.4281 0.9654 0.1604 -0.3814 13
-0.4229 0.9657 0.1596 -0.3941 12
-0.4285 0.9686 0.1546 -0.3937 10
-0.4243 0.9677 0.1597 -0.3602 11
-0.4336 0.9679 0.1580 -0.3826 11
-0.4261 0.9720 0.1611 -0.3674 11
-0.4303 0.9715 0.1601 -0.3586 13
-0.4231 0.9680 0.1575 -0.3789 12
-0.4367 0.9667 0.1566 -0.3606 8
-0.4161 0.9660 0.1607 -0.3830 9
-0.4532 0.9665 0.1605 -0.3736 13
-0.4314 0.9659 0.1600 -0.3198 10
-0.4242 0.9708 0.1545 -0.3364 11
-0.4023 0.9640 0.1656 -0.3458 10
-0.4000 0.9666 0.1642 -0.3244 13
-0.3938 0.9677 0.1602 -0.3336 10
-0.3951 0.9684 0.1575 -0.3351 11
-0.3871 0.9677 0.1604 -0.3257 12
-0.3936 0.9677 0.1600 -0.3687 11
-0.4217 0.9678 0.1619 -0.3840 12
-0.3970 0.9696 0.1603 -0.3533 14
-0.4071 0.9729 0.1571 -0.3257 11
-0.3908 0.9723 0.1563 -0.3301 11
-0.4265 0.9702 0.1578 -0.2942 11
-0.4074 0.9747 0.1528 -0.2616 11
-0.3642 0.9745 0.1520 -0.3079 14
-0.4114 0.9698 0.1581 -0.3188 11
-0.3609 0.9685 0.1628 -0.3147 11
-0.3886 0.9672 0.1652 -0.3181 12
-0.4114 0.9657 0.1612 -0.2706 11
-0.3882 0.9662 0.1670 -0.2352 10
-0.4014 0.9657 0.1606 -0.2580 14
-0.4043 0.9664 0.1638 -0.2263 10
-0.4021 0.9658 0.1680 -0.2384 10
-0.4140 0.9644 0.1650 -0.2687 11
-0.4021 0.9673 0.1729 -0.2431 13
-0.4197 0.9647 0.1698 -0.2430 13
-0.3990 0.9644 0.1764 -0.2205 12
-0.4071 0.9640 0.1747 -0.2334 13
-0.4210 0.9652 0.1695 -0.2410 13
-0.3952 0.9658 0.1648 -0.2381 13
-0.4079 0.9659 0.1722 -0.2549 11
-0.4075 0.9689 0.1706 -0.2539 20
-0.4383 0.9640 0.1698 -0.2661 11
-0.4388 0.9648 0.1754 -0.2985 17
-0.4385 0.9648 0.1784 -0.2443 11
-0.4241 0.9631 0.1791 -0.2099 9
-0.3989 0.9614 0.1786 -0.2211 9
-0.4065 0.9621 0.1736 -0.2469 11
-0.4080 0.9652 0.1658 -0.2445 12
-0.4137 0.9657 0.1629 -0.1991 13
-0.4163 0.9663 0.1611 -0.1905 16
-0.4247 0.9652 0.1613 -0.1917 13
-0.4138 0.9644 0.1691 -0.2123 14
-0.4047 0.9657 0.1617 -0.2393 11
-0.4155 0.9649 0.1700 -0.2714 10
-0.4151 0.9651 0.1728 -0.2875 14
-0.4141 0.9638 0.1627 -0.2718 11
-0.4213 0.9679 0.1594 -0.2440 13
-0.3977 0.9658 0.1684 -0.2749 13
-0.4158 0.9699 0.1680 -0.2524 14
-0.4057 0.9696 0.1718 -0.2549 15
-0.4444 0.9652 0.1655 -0.2634 13
-0.4378 0.9679 0.1655 -0.2218 12
-0.4201 0.9703 0.1637 -0.2128 16
-0.4081 0.9686 0.1662 -0.2411 12
-0.4265 0.9726 0.1631 -0.2543 15
-0.4673 0.9678 0.1684 -0.2411 12
-0.4354 0.9703 0.1699 -0.2146 13
-0.3995 0.9669 0.1649 -0.2532 10
-0.4239 0.9740 0.1630 -0.2639 11
-0.4238 0.9741 0.1602 -0.2627 14
-0.3900 0.9664 0.1679 -0.2265 11
-0.4316 0.9732 0.1619 -0.2125 11
-0.4525 0.9699 0.1587 -0.1753 11
-0.3991 0.9665 0.1668 -0.1460 10
-0.4547 0.9671 0.1680 -0.1771 12
-0.4355 0.9672 0.1666 -0.1783 14
-0.4344 0.9701 0.1643 -0.1567 9
-0.4376 0.9680 0.1630 -0.1330 9
-0.4279 0.9710 0.1717 -0.1307 13
-0.4206 0.9701 0.1700 -0.1802 11
-0.4244 0.9729 0.1610 -0.1839 12
-0.4408 0.9738 0.1580 -0.2248 14
-0.4372 0.9755 0.1599 -0.1990 12
-0.4305 0.9749 0.1587 -0.1790 11
-0.4258 0.9758 0.1578 -0.1964 13
-0.4339 0.9757 0.1556 -0.2055 13
-0.4480 0.9744 0.1539 -0.1814 15
-0.3971 0.9754 0.1513 -0.1068 10
-0.4152 0.9734 0.1529 -0.1447 11
-0.4323 0.9754 0.1512 -0.2029 14
-0.4221 0.9736 0.1534 -0.2200 11
-0.4267 0.9702 0.1587 -0.2764 16
-0.4094 0.9728 0.1618 -0.2544 11
-0.3913 0.9734 0.1626 -0.2614 17
-0.4108 0.9738 0.1592 -0.2430 12
-0.3959 0.9752 0.1585 -0.2746 13
-0.3961 0.9732 0.1560 -0.2030 12
-0.4008 0.9744 0.1527 -0.1344 12
-0.3859 0.9747 0.1528 -0.1212 10
-0.4029 0.9762 0.1519 -0.1540 13
-0.4277 0.9761 0.1594 -0.1416 13
-0.4307 0.9745 0.1597 -0.1700 12
-0.4223 0.9741 0.1577 -0.1640 15
-0.4051 0.9713 0.1549 -0.1444 11
-0.4111 0.9743 0.1525 -0.1653 13
-0.3900 0.9741 0.1502 -0.2229 13
-0.3967 0.9763 0.1412 -0.1893 13
-0.4035 0.9763 0.1435 -0.2553 13
-0.3982 0.9795 0.1470 -0.2270 11
-0.3934 0.9769 0.1476 -0.2324 12
-0.3817 0.9767 0.1462 -0.1881 11
-0.3979 0.9754 0.1480 -0.2310 12
-0.3979 0.9777 0.1480 -0.2198 11
-0.3849 0.9788 0.1490 -0.2712 15
-0.3825 0.9768 0.1451 -0.2461 16
-0.3784 0.9771 0.1438 -0.2704 11
-0.3862 0.9793 0.1438 -0.2797 12
-0.3927 0.9774 0.1440 -0.2598 10
