mu phi sigma rho nu
-0.4333 0.9755 0.1336 -0.2018 11
-0.4555 0.9744 0.1340 -0.2210 9
-0.4492 0.9715 0.1367 -0.2815 10
-0.4423 0.9719 0.1401 -0.2521 10
-0.4279 0.9760 0.1355 -0.2374 10
-0.4336 0.9751 0.1308 -0.2316 12
-0.4156 0.9772 0.1291 -0.2051 11
-0.3964 0.9726 0.1329 -0.2280 10
-0.4174 0.9719 0.1351 -0.2418 9
-0.4177 0.9743 0.1334 -0.2636 12
-0.3956 0.9747 0.1322 -0.2962 10
-0.4201 0.9752 0.1300 -0.2529 11
-0.4115 0.9763 0.1277 -0.2925 10
-0.4133 0.9773 0.1256 -0.2988 11
-0.4182 0.9783 0.1251 -0.3222 11
-0.3935 0.9777 0.1264 -0.2996 9
-0.4169 0.9768 0.1266 -0.3254 11
-0.4208 0.9785 0.1255 -0.3504 11
-0.4159 0.9802 0.1261 -0.3946 11
-0.4062 0.9774 0.1253 -0.3993 8
-0.4307 0.9785 0.1253 -0.3645 9
-0.4368 0.9803 0.1258 -0.3006 10
-0.4426 0.9770 0.1236 -0.2707 9
-0.4415 0.9777 0.1208 -0.2725 13
-0.4104 0.9789 0.1249 -0.2938 10
-0.4293 0.9776 0.1231 -0.2774 10
-0.4157 0.9787 0.1237 -0.2461 12
-0.4286 0.9798 0.1253 -0.2558 9
-0.4158 0.9797 0.1279 -0.2357 13
-0.4345 0.9763 0.1252 -0.2529 10
-0.4331 0.9782 0.1251 -0.3120 15
-0.4353 0.9767 0.1245 -0.2730 9
-0.4357 0.9798 0.1193 -0.2841 11
-0.3947 0.9776 0.1247 -0.3019 10
-0.4183 0.9781 0.1221 -0.3163 9
-0.4211 0.9826 0.1181 -0.2480 9
-0.4459 0.9801 0.1125 -0.2440 9
-0.4373 0.9845 0.1139 -0.2871 10
-0.4072 0.9812 0.1195 -0.2751 10
-0.4033 0.9845 0.1131 -0.2705 8
-0.4061 0.9854 0.1122 -0.2297 11
-0.3761 0.9847 0.1079 -0.2301 9
-0.4068 0.9859 0.1088 -0.2108 9
-0.4180 0.9822 0.1100 -0.2185 10
-0.4050 0.9819 0.1099 -0.2046 11
-0.4050 0.9848 0.1091 -0.1772 11
-0.3857 0.9849 0.1131 -0.1413 12
-0.4017 0.9827 0.1152 -0.1374 15
-0.3791 0.9791 0.1143 -0.1250 11
-0.4173 0.9801 0.1136 -0.1615 12
-0.4386 0.9790 0.1126 -0.1134 15
-0.4313 0.9804 0.1154 -0.1400 11
-0.4560 0.9771 0.1204 -0.1212 8
-0.4367 0.9776 0.1212 -0.2132 12
-0.4111 0.9818 0.1192 -0.2213 12
-0.4234 0.9783 0.1146 -0.1699 9
-0.4193 0.9789 0.1200 -0.1839 8
-0.4275 0.9778 0.1176 -0.2361 10
-0.4378 0.9773 0.1204 -0.2523 9
-0.3973 0.9750 0.1256 -0.2543 10
-0.4513 0.9763 0.1215 -0.2607 10
-0.4247 0.9768 0.1252 -0.2901 10
-0.4405 0.9763 0.1257 -0.3215 12
-0.4424 0.9772 0.1238 -0.2851 11
-0.4058 0.9748 0.1324 -0.2850 13
-0.4509 0.9766 0.1264 -0.2998 10
-0.4423 0.9769 0.1271 -0.2824 10
-0.4753 0.9780 0.1283 -0.3018 11
-0.4456 0.9788 0.1249 -0.2865 11
-0.4397 0.9776 0.1250 -0.2745 11
-0.4298 0.9799 0.1277 -0.2614 10
-0.4462 0.9810 0.1242 -0.2429 8
-0.4371 0.9816 0.1233 -0.2703 9
-0.4570 0.9834 0.1139 -0.2908 10
-0.4392 0.9815 0.1161 -0.3387 8
-0.4343 0.9815 0.1205 -0.3100 9
-0.4538 0.9823 0.1194 -0.3221 10
-0.4414 0.9787 0.1225 -0.3346 7
-0.4247 0.9787 0.1225 -0.3168 9
-0.4470 0.9823 0.1202 -0.3033 10
-0.4391 0.9791 0.1169 -0.2853 10
-0.4468 0.9841 0.1152 -0.2966 9
-0.4217 0.9794 0.1152 -0.2758 9
-0.4215 0.9830 0.1172 -0.3394 9
-0.4972 0.9787 0.1231 -0.3255 8
-0.4231 0.9777 0.1196 -0.3120 10
-0.4438 0.9779 0.1206 -0.3111 12
-0.4372 0.9782 0.1200 -0.2865 9
-0.4671 0.9782 0.1221 -0.3107 10
-0.4556 0.9777 0.1165 -0.2718 12
-0.4384 0.9822 0.1135 -0.2901 13
-0.4266 0.9799 0.1146 -0.3094 10
-0.4409 0.9808 0.1154 -0.3020 11
-0.4376 0.9843 0.1147 -0.3026 11
-0.4532 0.9791 0.1194 -0.2540 11
-0.4306 0.9789 0.1217 -0.2911 10
-0.4561 0.9787 0.1200 -0.2584 9
-0.4191 0.9782 0.1219 -0.2303 10
-0.4482 0.9780 0.1211 -0.2289 8
-0.4205 0.9797 0.1185 -0.2156 11
-0.4091 0.9823 0.1209 -0.2228 9
-0.4159 0.9801 0.1212 -0.2369 11
-0.4152 0.9790 0.1237 -0.1975 8
-0.4363 0.9780 0.1295 -0.2019 9
-0.4112 0.9777 0.1239 -0.2116 10
-0.4311 0.9781 0.1213 -0.2087 10
-0.4112 0.9785 0.1229 -0.2097 11
-0.4287 0.9790 0.1229 -0.2211 10
-0.4285 0.9824 0.1238 -0.2223 11
-0.4267 0.9822 0.1200 -0.2016 9
-0.4038 0.9829 0.1181 -0.2025 9
-0.3726 0.9793 0.1202 -0.1790 9
-0.3917 0.9826 0.1160 -0.1999 10
-0.3738 0.9833 0.1135 -0.1949 9
-0.4243 0.9812 0.1153 -0.2072 12
-0.4204 0.9817 0.1180 -0.2253 9
-0.3911 0.9794 0.1199 -0.2215 9
-0.4109 0.9794 0.1226 -0.2100 10
-0.3933 0.9805 0.1204 -0.2652 10
-0.4464 0.9805 0.1259 -0.2808 9
-0.4017 0.9787 0.1195 -0.2320 13
-0.4095 0.9789 0.1241 -0.2317 11
-0.4015 0.9784 0.1248 -0.2116 11
-0.4013 0.9778 0.1250 -0.1912 11
-0.4207 0.9785 0.1270 -0.1285 10
-0.4285 0.9798 0.1282 -0.1566 9
-0.4199 0.9773 0.1281 -0.1292 13
-0.4074 0.9772 0.1236 -0.1861 9
-0.4201 0.9780 0.1267 -0.1912 9
-0.4405 0.9762 0.1301 -0.1835 10
-0.4352 0.9763 0.1296 -0.2068 11
-0.4087 0.9776 0.1331 -0.2042 12
-0.4093 0.9756 0.1312 -0.1824 10
-0.4284 0.9761 0.1327 -0.1576 11
-0.4261 0.9763 0.1327 -0.1628 12
-0.4221 0.9769 0.1280 -0.1162 9
-0.4237 0.9774 0.1290 -0.1433 8
-0.4014 0.9773 0.1292 -0.1068 11
-0.4265 0.9763 0.1316 -0.1026 8
-0.4579 0.9766 0.1305 -0.0839 12
-0.4396 0.9810 0.1269 -0.1290 9
-0.4258 0.9774 0.1268 -0.1790 9
-0.4622 0.9797 0.1280 -0.1873 10
