mu phi sigma nu
-0.7227 0.9807 0.1328 9
-0.7121 0.9806 0.1307 8
-0.5526 0.9805 0.1270 7
-0.4125 0.9794 0.1282 9
-0.2811 0.9825 0.1271 7
-0.2522 0.9888 0.1270 10
-0.5695 0.9789 0.1247 8
-0.5506 0.9783 0.1263 8
-0.5741 0.9774 0.1226 10
-0.3598 0.9856 0.1274 9
-0.2911 0.9800 0.1284 8
-0.5058 0.9782 0.1329 12
-0.5204 0.9723 0.1345 10
-0.4968 0.9780 0.1335 7
-0.4117 0.9787 0.1369 8
-0.3164 0.9853 0.1394 8
-0.6850 0.9804 0.1335 8
-0.4794 0.9783 0.1332 9
-0.4920 0.9763 0.1321 9
-0.1250 0.9882 0.1249 7
-0.4390 0.9813 0.1229 9
-0.6685 0.9775 0.1218 9
-0.4629 0.9823 0.1178 11
-0.5053 0.9790 0.1213 7
-0.4060 0.9823 0.1186 7
-0.3973 0.9823 0.1201 10
-0.2970 0.9905 0.1163 8
-0.6971 0.9834 0.1188 9
-0.8212 0.9842 0.1185 9
-0.2248 0.9812 0.1217 8
-0.3434 0.9897 0.1185 7
-0.3288 0.9825 0.1165 9
-0.5406 0.9848 0.1187 9
-0.2884 0.9841 0.1161 8
-0.4313 0.9818 0.1198 10
-0.4495 0.9873 0.1188 8
-0.1149 0.9820 0.1166 10
-0.4260 0.9786 0.1180 10
-0.3083 0.9908 0.1163 9
-0.2748 0.9834 0.1166 10
-0.2553 0.9808 0.1147 10
-0.7008 0.9851 0.1128 8
-0.4791 0.9794 0.1138 9
-0.3825 0.9865 0.1108 8
-0.5720 0.9832 0.1117 8
-0.1964 0.9858 0.1156 8
-0.6586 0.9831 0.1118 8
-0.3894 0.9877 0.1114 9
-0.3732 0.9836 0.1109 11
-0.4901 0.9814 0.1118 9
-0.4452 0.9861 0.1149 8
-0.1261 0.9877 0.1123 9
-0.5961 0.9848 0.1176 9
-0.2243 0.9819 0.1189 9
-0.3672 0.9812 0.1162 8
-0.1628 0.9841 0.1123 7
-0.4153 0.9773 0.1152 8
-0.3702 0.9839 0.1157 9
-0.4296 0.9815 0.1220 9
-0.2078 0.9824 0.1190 8
-0.4525 0.9762 0.1178 8
-0.3178 0.9813 0.1201 10
-0.7392 0.9877 0.1228 8
-0.4817 0.9822 0.1261 9
-0.4973 0.9740 0.1303 10
-0.3859 0.9794 0.1250 9
-0.4132 0.9883 0.1273 9
0.0451 0.9848 0.1243 7
-0.1726 0.9915 0.1238 12
-0.0593 0.9855 0.1194 12
-0.3355 0.9733 0.1181 10
-0.2563 0.9830 0.1177 8
-0.6465 0.9860 0.1190 9
-0.2545 0.9803 0.1267 15
-0.4133 0.9751 0.1214 9
-0.4327 0.9792 0.1215 12
-0.1447 0.9828 0.1227 13
-0.7999 0.9813 0.1223 10
-0.4978 0.9821 0.1176 12
-0.3843 0.9876 0.1151 10
-0.2996 0.9816 0.1148 8
-0.3641 0.9839 0.1122 8
-0.5723 0.9813 0.1126 9
-0.4608 0.9889 0.1135 9
-0.1338 0.9852 0.1103 8
-0.3185 0.9770 0.1096 9
-0.5924 0.9845 0.1056 11
-0.1396 0.9862 0.1066 10
-0.8192 0.9888 0.1082 10
-0.5964 0.9900 0.1061 12
-0.5061 0.9815 0.1059 9
-0.3598 0.9817 0.1048 9
-0.3561 0.9880 0.1065 8
-0.5739 0.9937 0.1058 10
-0.1489 0.9865 0.1089 12
-0.3175 0.9836 0.1061 11
-0.4181 0.9882 0.1058 8
-0.7967 0.9850 0.1073 9
-0.5959 0.9880 0.1085 8
-0.1096 0.9856 0.1054 12
-0.3779 0.9893 0.1075 9
-0.4763 0.9847 0.1063 10
-0.2415 0.9873 0.1061 10
-0.1080 0.9837 0.1064 9
-0.0329 0.9840 0.1079 11
-0.3936 0.9848 0.1073 10
-0.3036 0.9872 0.1084 12
-0.5814 0.9874 0.1086 9
-0.2781 0.9880 0.1122 10
-0.5217 0.9812 0.1131 12
-0.4570 0.9836 0.1146 10
-0.4237 0.9882 0.1122 10
-0.5766 0.9775 0.1159 9
-0.3353 0.9844 0.1135 9
-0.2057 0.9914 0.1173 9
-0.8722 0.9858 0.1178 7
-0.4830 0.9840 0.1188 9
-0.2224 0.9804 0.1133 9
-0.6713 0.9907 0.1166 8
0.3773 0.9944 0.1162 8
-0.7110 0.9884 0.1138 10
-0.4583 0.9773 0.1138 9
-0.5982 0.9841 0.1159 9
-0.3076 0.9840 0.1178 9
-0.5821 0.9872 0.1181 9
-0.5480 0.9826 0.1203 12
-0.3896 0.9806 0.1179 8
-0.3801 0.9807 0.1212 12
-0.3324 0.9768 0.1199 10
-0.5122 0.9782 0.1202 10
-0.2939 0.9842 0.1232 10
-0.4203 0.9813 0.1190 10
-0.5736 0.9822 0.1199 9
-0.4223 0.9839 0.1190 11
-0.3186 0.9793 0.1179 7
-0.4367 0.9785 0.1183 10
-0.4372 0.9823 0.1164 11
-0.3508 0.9827 0.1187 14
-0.2934 0.9739 0.1133 9
-0.3490 0.9835 0.1150 9
-0.5962 0.9804 0.1148 11
-0.3130 0.9712 0.1164 10
-0.4267 0.9828 0.1145 9
-0.3513 0.9731 0.1165 11
-0.4424 0.9850 0.1154 10
-0.1346 0.9816 0.1162 11
-0.6192 0.9868 0.1165 13
-0.6557 0.9852 0.1145 9
-0.4649 0.9793 0.1157 10
-0.3651 0.9848 0.1135 9
-0.5702 0.9802 0.1173 11
-0.3399 0.9854 0.1183 10
-0.2112 0.9841 0.1213 10
-0.4316 0.9760 0.1202 12
-0.3904 0.9786 0.1178 11
-0.2870 0.9887 0.1157 8
-0.4503 0.9820 0.1175 11
-0.4211 0.9848 0.1181 10
-0.3108 0.9830 0.1203 13
-0.5309 0.9787 0.1166 13
-0.3608 0.9836 0.1144 13
-0.2282 0.9840 0.1168 11
-0.6582 0.9881 0.1173 12
-0.8514 0.9853 0.1145 11
-0.4934 0.9873 0.1189 12
-0.1718 0.9853 0.1124 13
-0.2457 0.9753 0.1128 10
-0.4002 0.9826 0.1134 11
-0.1857 0.9853 0.1146 11
-0.4644 0.9749 0.1148 10
-0.3150 0.9880 0.1166 10
-0.3588 0.9833 0.1133 11
-0.2299 0.9821 0.1161 10
-0.3017 0.9721 0.1176 11
-0.3107 0.9847 0.1170 12
-0.5330 0.9842 0.1175 12
-0.0977 0.9836 0.1176 11
-0.1978 0.9850 0.1153 11
-0.2945 0.9826 0.1165 9
-0.3157 0.9821 0.1163 9
-0.2521 0.9865 0.1182 10
-0.3147 0.9799 0.1208 10
-0.4254 0.9833 0.1200 12
-0.2597 0.9762 0.1201 12
-0.2711 0.9801 0.1234 10
-0.2513 0.9791 0.1236 15
-0.3014 0.9834 0.1245 14
-0.1967 0.9835 0.1236 11
-0.3156 0.9896 0.1249 10
-0.3219 0.9817 0.1277 12
-0.3380 0.9851 0.1264 11
-0.0755 0.9845 0.1284 10
-0.3962 0.9804 0.1331 10
-0.2552 0.9783 0.1305 15
-0.4884 0.9750 0.1284 12
-0.3723 0.9783 0.1217 12
-0.0735 0.9845 0.1208 9
-0.4128 0.9808 0.1203 15
-0.4341 0.9800 0.1208 11
-0.2136 0.9790 0.1254 9
-0.5199 0.9841 0.1197 11
-0.3097 0.9766 0.1209 12
-0.4856 0.9820 0.1196 9
-0.3950 0.9850 0.1222 11
-0.2173 0.9815 0.1200 11
-0.3843 0.9779 0.1163 11
-0.3501 0.9820 0.1197 13
-0.3698 0.9783 0.1235 11
-0.4594 0.9807 0.1272 11
-0.5753 0.9872 0.1290 10
-0.5249 0.9836 0.1293 11
-0.2842 0.9765 0.1251 14
-0.3492 0.9799 0.1289 10
-0.2109 0.9745 0.1322 16
-0.5659 0.9796 0.1368 12
-0.4211 0.9852 0.1343 10
-0.6012 0.9781 0.1356 10
-0.4361 0.9749 0.1310 9
-0.3662 0.9814 0.1354 13
-0.4334 0.9738 0.1336 17
-0.4777 0.9761 0.1285 12
-0.4308 0.9739 0.1309 11
-0.3887 0.9823 0.1302 10
-0.7976 0.9865 0.1322 13
-0.2737 0.9780 0.1341 15
-0.5230 0.9743 0.1361 13
-0.3440 0.9821 0.1334 12
-0.1212 0.9816 0.1292 13
-0.5378 0.9804 0.1271 12
-0.3004 0.9877 0.1222 13
-0.2180 0.9840 0.1321 10
-0.3578 0.9861 0.1316 11
-0.2993 0.9823 0.1329 12
-0.4526 0.9778 0.1320 15
-0.4932 0.9745 0.1351 13
-0.5255 0.9813 0.1351 11
-0.6659 0.9782 0.1370 12
-0.3495 0.9751 0.1404 8
-0.4697 0.9791 0.1415 13
-0.4979 0.9725 0.1426 12
-0.3899 0.9677 0.1405 9
-0.4055 0.9831 0.1388 12
-0.6462 0.9762 0.1369 9
-0.3555 0.9785 0.1356 9
-0.6138 0.9836 0.1338 8
-0.4247 0.9790 0.1379 11
-0.4371 0.9713 0.1393 8
-0.3522 0.9752 0.1346 13
-0.3695 0.9877 0.1352 10
-0.4301 0.9816 0.1317 12
-0.6239 0.9823 0.1343 11
-0.2224 0.9825 0.1352 8
-0.5886 0.9860 0.1353 10
-0.1906 0.9871 0.1290 10
-0.3218 0.9810 0.1336 9
-0.4132 0.9808 0.1337 10
-0.4372 0.9717 0.1372 11
-0.3926 0.9717 0.1358 10
-0.6059 0.9793 0.1417 11
-0.5677 0.9757 0.1443 10
-0.6729 0.9693 0.1465 11
-0.5953 0.9719 0.1437 10
-0.3788 0.9831 0.1381 9
-0.2940 0.9765 0.1354 10
-0.4928 0.9703 0.1388 10
-0.3837 0.9824 0.1383 12
-0.5432 0.9841 0.1334 11
-0.1771 0.9792 0.1304 9
-0.5330 0.9815 0.1297 8
-0.4729 0.9804 0.1293 10
-0.3820 0.9817 0.1253 9
-0.3214 0.9777 0.1240 9
-0.6155 0.9763 0.1261 9
-0.5175 0.9813 0.1271 8
-0.5120 0.9803 0.1261 11
-0.4339 0.9798 0.1270 10
-0.4709 0.9797 0.1279 9
-0.3666 0.9744 0.1228 8
-0.2991 0.9863 0.1232 9
-0.3947 0.9812 0.1266 8
-0.3363 0.9827 0.1231 9
-0.3896 0.9857 0.1222 7
-0.1877 0.9843 0.1187 11
-0.2668 0.9773 0.1226 10
-0.4740 0.9868 0.1245 10
-0.0531 0.9854 0.1223 9
-0.4458 0.9776 0.1232 9
-0.5791 0.9766 0.1210 8
-0.3544 0.9807 0.1206 7
-0.5398 0.9860 0.1181 8
-0.6294 0.9801 0.1172 8
-0.3240 0.9862 0.1163 7
-0.3517 0.9778 0.1197 9
-0.3823 0.9791 0.1198 11
-0.5066 0.9807 0.1185 11
-0.6804 0.9766 0.1209 8
-0.5343 0.9769 0.1214 8
-0.5301 0.9782 0.1227 8
-0.3517 0.9785 0.1240 9
-0.3940 0.9790 0.1225 9
-0.4368 0.9740 0.1178 9
-0.5084 0.9771 0.1200 10
-0.4371 0.9804 0.1228 10
-0.2701 0.9824 0.1225 8
-0.6880 0.9739 0.1210 7
-0.6297 0.9765 0.1227 10
-0.4271 0.9809 0.1266 7
-0.3859 0.9855 0.1253 9
-0.2516 0.9831 0.1227 7
-0.6072 0.9793 0.1223 9
-0.5243 0.9727 0.1247 9
-0.5150 0.9737 0.1253 9
-0.2442 0.9796 0.1232 7
-0.6160 0.9813 0.1257 8
-0.3818 0.9775 0.1244 8
-0.4807 0.9703 0.1222 8
-0.4870 0.9699 0.1245 11
-0.6698 0.9847 0.1232 7
-0.4896 0.9781 0.1246 10
-0.5632 0.9801 0.1261 8
-0.3301 0.9751 0.1252 8
-0.2928 0.9763 0.1284 9
-0.4154 0.9789 0.1253 9
-0.4735 0.9745 0.1260 10
-0.5041 0.9814 0.1285 10
-0.2765 0.9799 0.1286 9
-0.5289 0.9803 0.1268 8
-0.4799 0.9717 0.1195 9
-0.3846 0.9721 0.1213 10
-0.5990 0.9749 0.1225 9
-0.5320 0.9777 0.1246 9
-0.2696 0.9812 0.1238 8
-0.5038 0.9795 0.1264 10
-0.5727 0.9768 0.1300 9
-0.3878 0.9790 0.1258 9
-0.5798 0.9747 0.1237 9
-0.4592 0.9793 0.1232 10
-0.3112 0.9822 0.1250 9
-0.4767 0.9701 0.1270 9
-0.4862 0.9722 0.1295 8
-0.3780 0.9798 0.1224 9
-0.5358 0.9804 0.1229 10
-0.4625 0.9778 0.1212 9
-0.4073 0.9760 0.1231 7
-0.2175 0.9811 0.1208 7
-0.6924 0.9746 0.1145 7
-0.4593 0.9761 0.1152 8
-0.4658 0.9804 0.1177 7
-0.4733 0.9719 0.1125 8
-0.6424 0.9843 0.1154 9
-0.1861 0.9866 0.1131 8
-0.5587 0.9756 0.1126 9
-0.5025 0.9713 0.1109 8
-0.5095 0.9815 0.1095 9
-0.2879 0.9868 0.1097 8
-0.3103 0.9843 0.1123 9
-0.6567 0.9837 0.1153 7
-0.5132 0.9811 0.1157 7
-0.4746 0.9832 0.1090 7
-0.2993 0.9872 0.1082 7
-0.7590 0.9836 0.1100 9
-0.3080 0.9785 0.1121 8
-0.4552 0.9826 0.1155 7
-0.5705 0.9759 0.1129 8
-0.6675 0.9805 0.1083 9
-0.4684 0.9755 0.1131 7
-0.6047 0.9837 0.1130 8
-0.0964 0.9792 0.1134 9
-0.4029 0.9791 0.1144 9
-0.3891 0.9752 0.1164 8
-0.4869 0.9768 0.1241 8
-0.5549 0.9738 0.1258 9
-0.4152 0.9713 0.1221 10
-0.6187 0.9778 0.1251 8
-0.2100 0.9816 0.1263 8
-0.5108 0.9826 0.1304 8
-0.6888 0.9782 0.1286 9
-0.3689 0.9738 0.1298 8
-0.2486 0.9793 0.1300 9
-0.3413 0.9735 0.1319 8
-0.5938 0.9789 0.1321 8
-0.6952 0.9718 0.1300 10
-0.4957 0.9736 0.1274 7
-0.3898 0.9749 0.1257 8
-0.4040 0.9816 0.1232 8
-0.3640 0.9786 0.1231 7
-0.3805 0.9755 0.1292 7
-0.6990 0.9809 0.1292 7
-0.6223 0.9764 0.1243 10
-0.6043 0.9767 0.1255 12
-0.5675 0.9759 0.1234 9
-0.3572 0.9792 0.1256 8
-0.4771 0.9766 0.1220 7
-0.5756 0.9767 0.1255 7
-0.4500 0.9818 0.1271 8
-0.4004 0.9773 0.1285 7
-0.7121 0.9820 0.1330 8
-0.2566 0.9809 0.1281 8
-0.6269 0.9826 0.1259 8
-0.2857 0.9859 0.1298 7
-0.6432 0.9725 0.1291 9
-0.4984 0.9749 0.1282 9
-0.3633 0.9867 0.1286 8
-0.0562 0.9875 0.1288 7
-0.4223 0.9802 0.1268 8
-0.4928 0.9769 0.1233 7
-0.5078 0.9861 0.1198 7
-0.4286 0.9813 0.1166 8
-0.2899 0.9915 0.1168 9
-0.1410 0.9814 0.1139 7
-0.6676 0.9738 0.1200 7
-0.3862 0.9835 0.1171 7
-0.3984 0.9803 0.1223 7
-0.4767 0.9721 0.1203 8
-0.5553 0.9804 0.1214 7
-0.5568 0.9796 0.1260 6
-0.5620 0.9820 0.1235 8
-0.5490 0.9819 0.1228 8
-0.4770 0.9848 0.1215 7
-0.7340 0.9817 0.1226 8
-0.3319 0.9848 0.1240 8
-0.4475 0.9827 0.1229 8
-0.3586 0.9854 0.1211 8
-0.2167 0.9833 0.1225 7
-0.5216 0.9758 0.1234 7
-0.3859 0.9756 0.1232 8
-0.4758 0.9803 0.1215 8
-0.4780 0.9782 0.1188 8
-0.3457 0.9769 0.1152 7
-0.5317 0.9850 0.1185 7
-0.4386 0.9858 0.1213 8
-0.4266 0.9737 0.1247 8
-0.4909 0.9751 0.1271 7
-0.4886 0.9788 0.1310 7
-0.4950 0.9816 0.1293 7
-0.7893 0.9886 0.1278 9
-0.5068 0.9758 0.1317 9
-0.5012 0.9702 0.1264 8
-0.5231 0.9760 0.1256 7
-0.4336 0.9786 0.1227 8
-0.2727 0.9759 0.1244 7
-0.5464 0.9747 0.1233 9
-0.5655 0.9805 0.1243 7
-0.4514 0.9697 0.1245 9
-0.3919 0.9767 0.1240 8
-0.3752 0.9855 0.1201 8
-0.7915 0.9770 0.1231 7
-0.4937 0.9777 0.1215 9
-0.6317 0.9900 0.1237 9
-0.7504 0.9788 0.1254 7
-0.5300 0.9787 0.1266 8
-0.4069 0.9805 0.1174 7
-0.7055 0.9778 0.1223 8
-0.5311 0.9824 0.1237 8
-0.5813 0.9719 0.1221 7
-0.7004 0.9771 0.1260 8
-0.3814 0.9792 0.1217 6
-0.5139 0.9744 0.1241 8
-0.7311 0.9818 0.1260 9
-0.5218 0.9753 0.1257 6
-0.4270 0.9760 0.1269 8
-0.3820 0.9729 0.1279 8
-0.4693 0.9831 0.1262 9
-0.5864 0.9809 0.1256 9
-0.5648 0.9751 0.1235 8
-0.3218 0.9768 0.1288 8
-0.5834 0.9621 0.1328 10
-0.4941 0.9765 0.1345 7
-0.6106 0.9761 0.1278 8
-0.4812 0.9687 0.1286 8
-0.5501 0.9762 0.1303 9
-0.4272 0.9749 0.1258 14
-0.2539 0.9775 0.1246 8
-0.5319 0.9740 0.1238 7
-0.3962 0.9756 0.1278 9
-0.5465 0.9642 0.1273 8
-0.4669 0.9693 0.1264 8
-0.4254 0.9786 0.1243 12
-0.4296 0.9778 0.1213 8
-0.4195 0.9820 0.1204 9
-0.5240 0.9806 0.1218 9
-0.5012 0.9702 0.1203 10
-0.5972 0.9724 0.1225 7
-0.5427 0.9824 0.1233 8
-0.5855 0.9870 0.1211 8
-0.7788 0.9775 0.1170 8
-0.5949 0.9729 0.1171 8
-0.4593 0.9822 0.1136 8
-0.5443 0.9818 0.1156 8
-0.7068 0.9816 0.1128 9
-0.5348 0.9735 0.1104 8
-0.6476 0.9816 0.1119 11
-0.1655 0.9816 0.1158 7
-0.5888 0.9791 0.1155 8
-0.3039 0.9860 0.1142 9
-0.3381 0.9792 0.1109 9
-0.3291 0.9810 0.1127 9
-0.5694 0.9811 0.1154 8
-0.3425 0.9812 0.1165 10
-0.3903 0.9778 0.1159 8
-0.4376 0.9771 0.1191 7
-0.5891 0.9772 0.1205 7
-0.5576 0.9759 0.1202 7
-0.3416 0.9812 0.1204 7
-0.4306 0.9738 0.1234 10
-0.5517 0.9804 0.1239 7
-0.6958 0.9732 0.1209 9
-0.6016 0.9759 0.1212 8
-0.5311 0.9805 0.1222 8
-0.3003 0.9823 0.1162 9
-0.4958 0.9798 0.1168 7
-0.4170 0.9778 0.1148 6
-0.6478 0.9804 0.1140 7
-0.5845 0.9803 0.1123 6
-0.8068 0.9827 0.1139 8
-0.5684 0.9835 0.1135 8
-0.7221 0.9839 0.1124 7
-0.5039 0.9859 0.1147 8
-0.5504 0.9828 0.1178 7
-0.4691 0.9811 0.1152 8
-0.2191 0.9865 0.1155 8
-0.2771 0.9810 0.1123 9
-0.5269 0.9838 0.1133 9
-0.5797 0.9798 0.1097 8
-0.5961 0.9862 0.1105 9
-0.6001 0.9914 0.1112 9
-0.2165 0.9808 0.1129 7
-0.5386 0.9916 0.1138 8
-0.8148 0.9756 0.1129 7
-0.5786 0.9840 0.1134 9
-0.6396 0.9796 0.1110 11
-0.4670 0.9820 0.1141 8
-0.6741 0.9857 0.1120 10
-0.3234 0.9787 0.1119 8
-0.5592 0.9839 0.1094 7
-0.5368 0.9785 0.1080 7
-0.5507 0.9826 0.1102 9
-0.4584 0.9820 0.1103 7
-0.3422 0.9891 0.1037 7
-0.4320 0.9833 0.1053 7
-0.7551 0.9844 0.1065 10
-0.4143 0.9833 0.1088 9
-0.5173 0.9833 0.1074 9
-0.6248 0.9824 0.1080 9
-0.5232 0.9827 0.1088 7
-0.4086 0.9810 0.1084 8
-0.5694 0.9841 0.1069 8
-0.3598 0.9815 0.1066 8
-0.6835 0.9843 0.1049 8
-0.6551 0.9797 0.1071 8
-0.6361 0.9808 0.1085 7
-0.4135 0.9873 0.1084 8
-0.5867 0.9811 0.1093 9
-0.4280 0.9840 0.1081 10
-0.5183 0.9781 0.1096 7
-0.3902 0.9840 0.1140 10
-0.6696 0.9837 0.1171 7
-0.3655 0.9824 0.1176 8
-0.5990 0.9783 0.1179 11
-0.7206 0.9809 0.1220 8
-0.5445 0.9747 0.1201 7
-0.5115 0.9779 0.1184 8
-0.6243 0.9788 0.1208 7
-0.4259 0.9800 0.1213 8
-0.5005 0.9751 0.1264 9
-0.4756 0.9731 0.1299 8
-0.5822 0.9816 0.1278 7
-0.3781 0.9848 0.1304 7
-0.3657 0.9797 0.1288 11
-0.6482 0.9750 0.1246 10
-0.5693 0.9854 0.1230 9
-0.6556 0.9833 0.1185 8
-0.3199 0.9828 0.1210 6
-0.5064 0.9795 0.1157 9
-0.5229 0.9769 0.1126 8
-0.4301 0.9769 0.1128 8
-0.4594 0.9767 0.1163 8
-0.1787 0.9820 0.1173 9
-0.3741 0.9698 0.1182 8
-0.4025 0.9819 0.1179 8
-0.3668 0.9828 0.1190 8
-0.6584 0.9707 0.1174 7
-0.5018 0.9867 0.1178 7
-0.6885 0.9828 0.1207 7
-0.4362 0.9701 0.1217 7
-0.4586 0.9742 0.1221 7
-0.5231 0.9834 0.1231 6
-0.3946 0.9810 0.1216 8
-0.4354 0.9717 0.1211 7
-0.5991 0.9736 0.1197 9
-0.5165 0.9808 0.1179 7
-0.6917 0.9723 0.1167 7
-0.4233 0.9802 0.1172 8
-0.4432 0.9819 0.1209 9
-0.3844 0.9809 0.1178 7
-0.3885 0.9811 0.1211 9
-0.3145 0.9804 0.1209 7
-0.5864 0.9784 0.1220 8
-0.4632 0.9674 0.1182 7
-0.4167 0.9755 0.1203 9
-0.2912 0.9796 0.1179 7
-0.4472 0.9772 0.1175 8
-0.5180 0.9804 0.1157 9
-0.5178 0.9815 0.1173 8
-0.4540 0.9802 0.1212 8
-0.3081 0.9759 0.1204 8
-0.4861 0.9774 0.1243 11
-0.6150 0.9785 0.1224 10
-0.5337 0.9757 0.1244 7
-0.2791 0.9826 0.1218 10
-0.7211 0.9841 0.1165 9
-0.7885 0.9801 0.1177 7
-0.3102 0.9794 0.1142 6
-0.5983 0.9841 0.1175 9
-0.9003 0.9859 0.1134 9
-0.6084 0.9735 0.1145 7
-0.6230 0.9841 0.1168 8
-0.6315 0.9830 0.1137 7
-0.3677 0.9816 0.1196 8
-0.4620 0.9780 0.1211 7
-0.6580 0.9822 0.1196 9
-0.5736 0.9791 0.1183 10
-0.4480 0.9736 0.1171 7
-0.2650 0.9871 0.1112 8
-0.7247 0.9838 0.1124 8
-0.6113 0.9795 0.1128 7
-0.4253 0.9756 0.1169 8
-0.4338 0.9754 0.1184 8
-0.3342 0.9834 0.1159 8
-0.4142 0.9787 0.1192 8
-0.5617 0.9846 0.1186 8
-0.4514 0.9813 0.1186 11
-0.3123 0.9850 0.1181 7
-0.6697 0.9757 0.1204 10
-0.5815 0.9823 0.1191 11
-0.5885 0.9798 0.1180 8
-0.4662 0.9814 0.1195 14
-0.4254 0.9828 0.1193 8
-0.6007 0.9849 0.1160 10
-0.7062 0.9854 0.1145 8
-0.3604 0.9854 0.1150 11
-0.4448 0.9840 0.1114 12
-0.6355 0.9844 0.1077 9
-0.5119 0.9853 0.1070 10
-0.4625 0.9832 0.1090 9
-0.1955 0.9871 0.1089 10
-0.5043 0.9839 0.1121 9
-0.3192 0.9865 0.1169 10
-0.4792 0.9788 0.1171 12
-0.6117 0.9810 0.1174 11
-0.4219 0.9819 0.1263 10
-0.7280 0.9921 0.1209 9
-0.6917 0.9836 0.1169 9
-0.4205 0.9734 0.1219 9
-0.4887 0.9828 0.1184 11
-0.4369 0.9737 0.1222 10
-0.3094 0.9719 0.1202 11
-0.4469 0.9812 0.1207 10
-0.3249 0.9886 0.1249 13
-0.0744 0.9845 0.1281 10
-0.3611 0.9805 0.1297 9
-0.6168 0.9810 0.1261 9
-0.2866 0.9758 0.1274 10
-0.4310 0.9720 0.1240 12
-0.4990 0.9881 0.1224 11
-0.1621 0.9790 0.1199 8
-0.4998 0.9783 0.1230 11
-0.7040 0.9817 0.1212 9
-0.3916 0.9760 0.1187 12
-0.3845 0.9862 0.1177 10
-0.1269 0.9829 0.1158 11
-0.4131 0.9781 0.1177 11
-0.5335 0.9847 0.1165 12
-0.4167 0.9816 0.1176 11
-0.3867 0.9819 0.1175 8
-0.5505 0.9757 0.1231 9
-0.5065 0.9785 0.1194 12
-0.4397 0.9828 0.1183 9
-0.3485 0.9789 0.1164 10
-0.4648 0.9835 0.1163 9
-0.4563 0.9808 0.1115 10
-0.3873 0.9817 0.1149 10
-0.4543 0.9788 0.1140 10
-0.4217 0.9798 0.1136 9
-0.5902 0.9831 0.1149 12
-0.3974 0.9860 0.1173 9
-0.1079 0.9908 0.1124 10
-0.4987 0.9812 0.1167 9
-0.5216 0.9782 0.1157 8
-0.2632 0.9855 0.1141 11
-0.7960 0.9863 0.1131 9
-0.6095 0.9853 0.1096 11
-0.5461 0.9841 0.1097 11
-0.4602 0.9792 0.1087 7
-0.4223 0.9888 0.1117 9
-0.0663 0.9886 0.1149 9
-0.5217 0.9800 0.1153 11
-0.5704 0.9790 0.1152 9
-0.3020 0.9805 0.1151 11
-0.2145 0.9881 0.1128 8
-0.9485 0.9954 0.1108 12
0.2219 0.9908 0.1125 10
-0.1257 0.9837 0.1100 9
-0.3739 0.9907 0.1051 8
0.1023 0.9898 0.1081 9
-0.4033 0.9839 0.1032 9
-0.7532 0.9891 0.1013 9
-0.1133 0.9847 0.1014 9
-0.3776 0.9827 0.1013 8
-0.3451 0.9865 0.1028 8
-0.4173 0.9886 0.1001 9
-0.5266 0.9940 0.0979 10
0.0224 0.9894 0.0983 9
-0.6049 0.9907 0.0978 8
-0.1909 0.9804 0.0995 10
-0.3199 0.9887 0.0987 9
-0.3694 0.9836 0.1003 9
-0.5603 0.9847 0.0988 11
-0.4451 0.9878 0.0979 11
-0.5111 0.9898 0.0997 10
-0.1040 0.9912 0.0960 9
-0.4595 0.9874 0.0991 9
-0.4579 0.9838 0.0956 9
-0.4415 0.9857 0.0954 9
-0.2570 0.9850 0.0941 9
-0.6682 0.9925 0.0964 9
-0.6439 0.9902 0.0953 9
-0.0642 0.9919 0.0950 9
-0.5411 0.9866 0.0982 11
-0.4714 0.9835 0.0968 12
-0.4141 0.9832 0.0989 9
-0.6169 0.9831 0.0979 10
-0.4178 0.9880 0.0994 10
-0.3380 0.9808 0.0960 9
-0.5329 0.9878 0.0985 10
-0.4045 0.9844 0.1015 8
-0.2607 0.9874 0.1031 8
-0.1674 0.9874 0.1029 9
-0.3182 0.9837 0.1014 10
-0.1353 0.9919 0.0996 8
-0.4507 0.9814 0.1010 11
-0.3468 0.9832 0.1017 12
-0.3373 0.9867 0.1037 9
-0.3193 0.9881 0.1045 8
-0.6850 0.9856 0.0996 8
-0.4244 0.9886 0.0988 9
0.0705 0.9888 0.0982 12
-0.4357 0.9855 0.1003 11
-0.4869 0.9892 0.0972 10
-0.5883 0.9834 0.1002 8
-0.2302 0.9953 0.1022 10
-0.7063 0.9842 0.1037 13
-0.4679 0.9821 0.1090 10
-0.3448 0.9901 0.1083 11
-0.6684 0.9917 0.1065 10
-0.4219 0.9899 0.1086 9
-0.1170 0.9848 0.1105 8
-0.6693 0.9827 0.1100 12
-0.4930 0.9930 0.1105 12
-0.5179 0.9826 0.1104 11
-0.3943 0.9857 0.1106 9
-0.2301 0.9830 0.1073 9
-0.3262 0.9831 0.1096 11
-0.4571 0.9813 0.1113 10
-0.5874 0.9804 0.1113 11
-0.2896 0.9894 0.1132 9
-0.5956 0.9784 0.1176 15
-0.5359 0.9856 0.1147 13
-0.5922 0.9883 0.1129 8
-0.3453 0.9816 0.1124 8
-0.5771 0.9817 0.1077 14
-0.2274 0.9872 0.1070 10
-0.2454 0.9848 0.1072 13
-0.4925 0.9848 0.1047 11
-0.4361 0.9797 0.1023 12
-0.3661 0.9846 0.1049 11
-0.3497 0.9840 0.1078 10
