mu phi sigma nu
-0.5219 0.9827 0.1220 14
-0.7153 0.9804 0.1229 12
-0.3602 0.9749 0.1246 10
-0.1608 0.9812 0.1258 8
-0.3956 0.9813 0.1277 14
0.0164 0.9825 0.1268 11
-0.5318 0.9784 0.1233 11
-0.2612 0.9700 0.1211 12
-0.3549 0.9802 0.1227 13
-0.4392 0.9850 0.1224 11
-0.3749 0.9767 0.1223 14
-0.3085 0.9810 0.1221 12
-0.2129 0.9825 0.1258 11
-0.6176 0.9763 0.1236 8
-0.3837 0.9744 0.1213 12
-0.3215 0.9716 0.1244 11
-0.3852 0.9833 0.1264 9
-0.4069 0.9712 0.1251 9
-0.5335 0.9781 0.1240 11
-0.3292 0.9833 0.1206 11
-0.3138 0.9783 0.1203 10
-0.4663 0.9777 0.1203 10
-0.3940 0.9766 0.1182 9
-0.4825 0.9788 0.1175 9
-0.1436 0.9775 0.1180 10
-0.2384 0.9761 0.1205 8
-0.4747 0.9801 0.1183 10
-0.5171 0.9772 0.1197 9
-0.1890 0.9865 0.1192 12
-0.6851 0.9885 0.1162 10
-0.2447 0.9737 0.1153 13
-0.3420 0.9803 0.1152 10
-0.6367 0.9807 0.1171 9
-0.4312 0.9744 0.1163 9
-0.2800 0.9749 0.1161 16
-0.4341 0.9836 0.1112 10
-0.4136 0.9794 0.1138 10
-0.2017 0.9816 0.1180 9
-0.5261 0.9766 0.1143 9
-0.5522 0.9771 0.1124 13
-0.4188 0.9781 0.1121 10
-0.5206 0.9796 0.1129 11
-0.2209 0.9850 0.1187 11
-0.4797 0.9798 0.1221 10
-0.4175 0.9851 0.1202 13
-0.5413 0.9812 0.1194 9
-0.4138 0.9743 0.1194 10
-0.2839 0.9747 0.1170 9
-0.4182 0.9749 0.1170 11
-0.3835 0.9700 0.1148 11
-0.3458 0.9800 0.1167 9
-0.4508 0.9749 0.1174 9
-0.4338 0.9743 0.1199 9
-0.3620 0.9658 0.1206 9
-0.4101 0.9884 0.1217 10
-0.2397 0.9802 0.1187 9
-0.4181 0.9795 0.1191 9
-0.3254 0.9751 0.1158 10
-0.2525 0.9803 0.1182 12
-0.2840 0.9804 0.1206 9
-0.5919 0.9737 0.1223 8
-0.4239 0.9704 0.1247 9
-0.3992 0.9830 0.1268 10
-0.2957 0.9683 0.1278 9
-0.4128 0.9804 0.1278 11
-0.6345 0.9754 0.1256 9
-0.3769 0.9772 0.1265 12
-0.4665 0.9710 0.1212 10
-0.4396 0.9671 0.1221 10
-0.4221 0.9766 0.1182 10
-0.3255 0.9760 0.1202 11
-0.4093 0.9828 0.1161 11
-0.2727 0.9755 0.1172 12
-0.4825 0.9764 0.1126 12
-0.4221 0.9825 0.1150 10
-0.1844 0.9844 0.1111 9
-0.6692 0.9834 0.1156 10
-0.4903 0.9882 0.1155 10
-0.4121 0.9854 0.1138 8
-0.1644 0.9919 0.1145 10
0.2815 0.9870 0.1161 11
-0.5657 0.9849 0.1160 11
-0.5610 0.9752 0.1135 9
-0.4121 0.9812 0.1154 9
-0.4955 0.9857 0.1156 8
-0.4959 0.9753 0.1181 7
-0.1958 0.9824 0.1176 8
-0.6378 0.9861 0.1173 7
-0.4406 0.9839 0.1183 8
-0.5086 0.9700 0.1208 9
-0.4570 0.9782 0.1231 9
-0.3901 0.9774 0.1219 10
-0.4458 0.9829 0.1210 9
-0.4466 0.9817 0.1217 10
-0.5257 0.9740 0.1229 9
-0.6066 0.9801 0.1206 10
-0.3466 0.9769 0.1235 7
-0.3966 0.9774 0.1222 11
-0.4435 0.9782 0.1268 12
-0.2750 0.9882 0.1230 10
-0.6227 0.9791 0.1239 10
-0.5671 0.9752 0.1199 10
-0.4328 0.9785 0.1180 10
-0.3468 0.9844 0.1196 11
-0.5171 0.9714 0.1185 11
-0.4551 0.9800 0.1173 10
-0.5978 0.9808 0.1186 12
-0.6761 0.9833 0.1161 9
-0.3022 0.9731 0.1138 10
-0.4417 0.9788 0.1139 11
-0.2793 0.9777 0.1155 10
-0.4799 0.9755 0.1174 9
-0.3462 0.9865 0.1124 9
-0.6509 0.9812 0.1135 9
-0.7137 0.9845 0.1093 10
-0.3336 0.9806 0.1081 10
-0.3338 0.9716 0.1085 10
-0.3702 0.9819 0.1139 9
-0.0424 0.9847 0.1152 9
-0.3997 0.9783 0.1181 9
-0.4090 0.9787 0.1221 9
-0.3582 0.9753 0.1227 10
-0.4090 0.9634 0.1218 9
-0.3807 0.9772 0.1184 10
-0.5600 0.9809 0.1146 9
-0.1772 0.9872 0.1142 10
-0.3244 0.9856 0.1173 9
-0.5634 0.9752 0.1167 7
-0.4904 0.9784 0.1180 10
-0.4068 0.9756 0.1187 10
-0.4597 0.9787 0.1161 8
-0.4755 0.9782 0.1179 10
-0.5242 0.9822 0.1169 12
-0.4517 0.9863 0.1173 9
-0.1850 0.9831 0.1200 9
-0.6109 0.9826 0.1175 8
-0.8267 0.9897 0.1156 11
-0.5893 0.9906 0.1218 12
-0.4590 0.9761 0.1198 9
-0.4519 0.9783 0.1173 11
-0.4643 0.9864 0.1159 9
-0.3382 0.9854 0.1172 11
-0.5327 0.9818 0.1130 11
-0.2648 0.9795 0.1152 9
-0.2979 0.9800 0.1182 8
-0.5400 0.9792 0.1192 9
-0.3925 0.9828 0.1219 12
-0.2099 0.9785 0.1238 12
-0.0460 0.9786 0.1258 9
-0.5560 0.9812 0.1256 11
-0.2074 0.9786 0.1250 11
-0.4597 0.9767 0.1238 11
-0.1575 0.9795 0.1214 11
-0.2848 0.9845 0.1199 11
-0.3918 0.9849 0.1187 14
-0.4351 0.9745 0.1199 9
-0.4004 0.9762 0.1211 11
-0.2639 0.9775 0.1225 10
-0.2931 0.9687 0.1212 14
-0.3671 0.9766 0.1162 10
-0.4678 0.9832 0.1183 13
-0.4111 0.9864 0.1187 9
-0.3827 0.9777 0.1204 11
-0.5072 0.9780 0.1179 12
-0.3644 0.9785 0.1157 10
-0.2719 0.9816 0.1177 9
-0.3399 0.9822 0.1200 10
-0.2002 0.9853 0.1208 12
-0.6634 0.9840 0.1192 11
-0.2414 0.9823 0.1270 9
-0.6330 0.9812 0.1256 11
-0.3297 0.9860 0.1256 11
-0.4191 0.9767 0.1284 12
-0.3711 0.9827 0.1230 12
-0.4504 0.9791 0.1229 8
-0.3148 0.9774 0.1234 9
-0.4012 0.9788 0.1207 9
-0.2401 0.9792 0.1226 9
-0.6857 0.9797 0.1259 10
-0.4537 0.9857 0.1300 11
-0.6473 0.9793 0.1287 9
-0.4606 0.9777 0.1241 9
-0.3355 0.9780 0.1209 13
-0.3696 0.9799 0.1231 11
-0.4508 0.9832 0.1213 9
-0.5584 0.9804 0.1224 15
-0.3490 0.9780 0.1225 8
-0.2426 0.9806 0.1225 14
-0.2203 0.9825 0.1254 14
